Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_REGULATION_OF_BODY_FLUID_LEVELS,10,2.0351,9.999000099990002e-05,0.12562077125620771,"ANGPTL6, CD36, COMP, F2, FERMT3, FLNA, GNAI2, GP1BB, SLC4A1, VWF"
GO_Biological_Process,GOBP_HEMOSTASIS,9,1.9682,9.999000099990002e-05,0.12562077125620771,"ANGPTL6, CD36, COMP, F2, FERMT3, FLNA, GP1BB, SLC4A1, VWF"
GO_Biological_Process,GOBP_MONOATOMIC_ION_TRANSPORT,6,0.758,9.999000099990002e-05,0.12562077125620771,"F2, FLNA, GNAI2, GP1BB, SLC4A1, STOM"
GO_Biological_Process,GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,5,0.4965,9.999000099990002e-05,0.12562077125620771,"F2, FLNA, GP1BB, SLC4A1, STOM"
GO_Biological_Process,GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,3,0.1341,9.999000099990002e-05,0.12562077125620771,"F2, FLNA, GP1BB"
GO_Biological_Process,GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,3,0.1341,9.999000099990002e-05,0.12562077125620771,"F2, FLNA, GP1BB"
GO_Biological_Process,GOBP_WOUND_HEALING,9,2.3591,0.00019998000199980003,0.16749436167494364,"ANGPTL6, CD36, COMP, F2, FERMT3, FLNA, GP1BB, SLC4A1, VWF"
GO_Biological_Process,GOBP_PLATELET_ACTIVATION,6,0.7595,0.00019998000199980003,0.16749436167494364,"COMP, F2, FERMT3, FLNA, GP1BB, VWF"
GO_Biological_Process,GOBP_CALCIUM_ION_TRANSPORT,4,0.2338,0.00019998000199980003,0.16749436167494364,"F2, FLNA, GNAI2, GP1BB"
GO_Biological_Process,GOBP_RESPONSE_TO_WOUNDING,9,2.6872,0.00039996000399960006,0.27408168274081685,"ANGPTL6, CD36, COMP, F2, FERMT3, FLNA, GP1BB, SLC4A1, VWF"
GO_Biological_Process,GOBP_TRANSMEMBRANE_TRANSPORT,6,1.1556,0.00039996000399960006,0.27408168274081685,"CD36, F2, FLNA, GP1BB, SLC4A1, STOM"
GO_Biological_Process,GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT,4,0.362,0.0004999500049995,0.31405192814051924,"F2, FLNA, GNAI2, STOM"
GO_Biological_Process,GOBP_REGULATION_OF_URINE_VOLUME,2,0.0635,0.0006999300069993001,0.4019864680198647,"GNAI2, SLC4A1"
GO_Biological_Process,GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,3,0.191,0.0007999200079992001,0.4019864680198647,"CD36, F2, FLNA"
GO_Biological_Process,GOBP_SEQUESTERING_OF_CALCIUM_ION,3,0.1998,0.0007999200079992001,0.4019864680198647,"F2, FLNA, GP1BB"
GO_Biological_Process,GOBP_MONOCARBOXYLIC_ACID_METABOLIC_PROCESS,5,0.8252,0.0008999100089991,0.42397010298970106,"APOC3, CD36, PKLR, PTGDS, SLC4A1"
GO_Biological_Process,GOBP_HOMEOSTATIC_PROCESS,8,2.5119,0.0011998800119988001,0.5320409135557033,"APOC3, APOC4, CD36, COMP, F2, FLNA, GP1BB, SLC4A1"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,3,0.2342,0.0012998700129987,0.5443566754435667,"CD36, F2, GNAI2"
GO_Biological_Process,GOBP_METAL_ION_TRANSPORT,4,0.5618,0.0014998500149985001,0.5652934706529347,"F2, FLNA, GNAI2, GP1BB"
GO_Biological_Process,GOBP_MONOCARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS,3,0.2679,0.0014998500149985001,0.5652934706529347,"APOC3, PKLR, PTGDS"
GO_Biological_Process,GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,3,0.2646,0.0015998400159984002,0.5652934706529347,"F2, FLNA, STOM"
GO_Biological_Process,GOBP_PROTEIN_LOCALIZATION_TO_NUCLEUS,3,0.2925,0.0016998300169983002,0.5652934706529347,"CD36, F2, FLNA"
GO_Biological_Process,GOBP_CALCIUM_ION_HOMEOSTASIS,3,0.2643,0.0017998200179982,0.5652934706529347,"F2, FLNA, GP1BB"
GO_Biological_Process,GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT,2,0.0685,0.0017998200179982,0.5652934706529347,"F2, GNAI2"
GO_Biological_Process,GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS,3,0.2997,0.0021997800219978004,0.6632776722327768,"APOC3, PKLR, PTGDS"
GO_Biological_Process,GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,4,0.6337,0.0023997600239976003,0.6699774466997744,"APOC3, F2, FLNA, GNAI2"
GO_Biological_Process,GOBP_MONOATOMIC_CATION_TRANSPORT,4,0.6303,0.0023997600239976003,0.6699774466997744,"F2, FLNA, GNAI2, GP1BB"
