Database,Pathway,Observed_Overlap,Mean_Random_Overlap,Empirical_P_Value,FDR_q_val,Contributing_Proteins
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION,7,1.5536,0.0006999300069993001,1.0,"CST3, HMGB1, LAMP2, NEO1, PON1, SH3GL3, TNFRSF1B"
GO_Biological_Process,GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,4,0.4737,0.0007999200079992001,1.0,"BST1, FCGR3A, HMGB1, TNFRSF1B"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION,3,0.3227,0.0014998500149985001,1.0,"BST1, FCGR3A, HMGB1"
GO_Biological_Process,GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,2,0.073,0.0014998500149985001,1.0,"FCGR3A, LAMP1"
GO_Biological_Process,GOBP_NATURAL_KILLER_CELL_DEGRANULATION,2,0.073,0.0014998500149985001,1.0,"FCGR3A, LAMP1"
GO_Biological_Process,GOBP_LEUKOCYTE_PROLIFERATION,4,0.6251,0.0020997900209979003,1.0,"BST1, FCGR3A, HMGB1, TNFRSF1B"
GO_Biological_Process,GOBP_REGULATION_OF_DEFENSE_RESPONSE,7,2.0486,0.0026997300269973002,1.0,"BST1, HMGB1, KLKB1, LAMP1, LAMP2, LBP, TNFRSF1B"
GO_Biological_Process,GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,3,0.3648,0.0030996900309969004,1.0,"HMGB1, LAMP2, LBP"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION,4,0.6987,0.0033996600339966003,1.0,"BST1, FCGR3A, HMGB1, LBP"
GO_Biological_Process,GOBP_INTRACELLULAR_PH_REDUCTION,2,0.1038,0.0033996600339966003,1.0,"LAMP1, LAMP2"
GO_Biological_Process,GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION,2,0.1038,0.0033996600339966003,1.0,"LAMP1, LAMP2"
GO_Biological_Process,GOBP_REGULATION_OF_LYSOSOMAL_LUMEN_PH,2,0.1038,0.0033996600339966003,1.0,"LAMP1, LAMP2"
GO_Biological_Process,GOBP_VACUOLAR_ACIDIFICATION,2,0.1038,0.0033996600339966003,1.0,"LAMP1, LAMP2"
GO_Biological_Process,GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION,4,0.7663,0.0037996200379962005,1.0,"BST1, FCGR3A, HMGB1, TNFRSF1B"
GO_Biological_Process,GOBP_MYELOID_LEUKOCYTE_MIGRATION,4,0.7429,0.004899510048995101,1.0,"BST1, HMGB1, LBP, MMP2"
GO_Biological_Process,GOBP_CELLULAR_RESPONSE_TO_STRESS,6,1.8007,0.004999500049995001,1.0,"HMGB1, LAMP2, MMP2, NEO1, TNFRSF1B, VASN"
GO_Biological_Process,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,4,0.759,0.005099490050994901,1.0,"FCGR3A, HMGB1, LAMP1, LBP"
GO_Biological_Process,GOBP_LYMPHOCYTE_ACTIVATION,5,1.2792,0.005599440055994401,1.0,"BST1, FCGR3A, HMGB1, LAMP1, TNFRSF1B"
GO_Biological_Process,GOBP_REGULATION_OF_PH,2,0.1388,0.005699430056994301,1.0,"LAMP1, LAMP2"
GO_Biological_Process,GOBP_NATURAL_KILLER_CELL_ACTIVATION,2,0.1423,0.0057994200579942,1.0,"FCGR3A, LAMP1"
GO_Biological_Process,GOBP_REGULATION_OF_CELL_ACTIVATION,5,1.2929,0.006199380061993801,1.0,"BST1, FCGR3A, HMGB1, LBP, TNFRSF1B"
GO_Biological_Process,GOBP_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS,8,3.1585,0.006399360063993601,1.0,"CST3, HMGB1, KLKB1, LBP, MMP2, PON1, TNFRSF1B, VASN"
GO_Biological_Process,GOBP_LEUKOCYTE_CHEMOTAXIS,4,0.8167,0.006999300069993001,1.0,"BST1, HMGB1, LBP, MMP2"
GO_Biological_Process,GOBP_LYTIC_VACUOLE_ORGANIZATION,2,0.1389,0.0071992800719928,1.0,"LAMP1, LAMP2"
GO_Biological_Process,GOBP_MACROPHAGE_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,2,0.1465,0.007599240075992401,1.0,"HMGB1, LBP"
GO_Biological_Process,GOBP_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,2,0.1477,0.007899210078992101,1.0,"HMGB1, TNFRSF1B"
GO_Biological_Process,GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_6_PRODUCTION,2,0.1459,0.007899210078992101,1.0,"HMGB1, LBP"
GO_Biological_Process,GOBP_REGULATION_OF_NEUTROPHIL_CHEMOTAXIS,2,0.1462,0.007899210078992101,1.0,"BST1, LBP"
GO_Biological_Process,GOBP_REGULATION_OF_NEUTROPHIL_MIGRATION,2,0.1462,0.007899210078992101,1.0,"BST1, LBP"
GO_Biological_Process,GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,2,0.1436,0.007999200079992,1.0,"HMGB1, LAMP2"
GO_Biological_Process,GOBP_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,2,0.1436,0.007999200079992,1.0,"HMGB1, LAMP2"
GO_Biological_Process,GOBP_LEUKOCYTE_DEGRANULATION,2,0.1458,0.008099190080991902,1.0,"FCGR3A, LAMP1"
GO_Biological_Process,GOBP_MACROPHAGE_ACTIVATION,3,0.4494,0.0082991700829917,1.0,"FCGR3A, HMGB1, LBP"
GO_Biological_Process,GOBP_CALCIUM_MEDIATED_SIGNALING,2,0.1464,0.008799120087991202,1.0,"BST1, FCGR3A"
