contrast,TimePoint,estimate,SE,df,t.ratio,p_value_raw,p_value_holm,Comparison_Type,Variable,Group,Significant
Female - Male,X3min,-50360000000.000015,79477953057.57579,18.0,-0.6336348391297646,0.5342885979588126,0.5342885979588126,Between-Group (Male vs Female),Concentration/ml,,False
Female - Male,X1hr,-87319999999.99995,73838053272.76111,18.0,-1.182588057643339,0.2523585903441796,0.2523585903441796,Between-Group (Male vs Female),Concentration/ml,,False
Female - Male,X2hrs,-63789999999.99997,77789085566.89255,18.0,-0.8200379209387356,0.4229211489073966,0.4229211489073966,Between-Group (Male vs Female),Concentration/ml,,False
X3min - X1hr,,50810000000.00003,26683165104.61232,18.0,1.9041968897167025,0.07299471717971873,0.21898415153915618,Within-Group (Time Point Changes),Concentration/ml,Female,False
X3min - X2hrs,,31750000000.000008,24446567698.190716,18.0,1.2987508263726453,0.21042181944671148,0.42084363889342297,Within-Group (Time Point Changes),Concentration/ml,Female,False
X1hr - X2hrs,,-19060000000.000023,21786222073.187035,18.0,-0.8748648543088957,0.3931716071937882,0.42084363889342297,Within-Group (Time Point Changes),Concentration/ml,Female,False
X3min - X1hr,,13850000000.000092,26683165104.61232,18.0,0.5190538658251621,0.6100464418807893,1.0,Within-Group (Time Point Changes),Concentration/ml,Male,False
X3min - X2hrs,,18320000000.000053,24446567698.190716,18.0,0.7493894532014779,0.4633046434003013,1.0,Within-Group (Time Point Changes),Concentration/ml,Male,False
X1hr - X2hrs,,4469999999.999962,21786222073.187035,18.0,0.2051755455803109,0.8397373695758503,1.0,Within-Group (Time Point Changes),Concentration/ml,Male,False
Female - Male,X3min,-0.12000000000000055,18.567160376440018,18.0,-0.006463023831703919,0.9949143806479299,0.9949143806479299,Between-Group (Male vs Female),Median Value (nm),,False
Female - Male,X1hr,6.329999999999998,14.43736086994049,18.0,0.43844578361821407,0.6662800405832106,0.6662800405832106,Between-Group (Male vs Female),Median Value (nm),,False
Female - Male,X2hrs,5.519999999999992,19.21017380915065,18.0,0.2873477384869143,0.777127959561007,0.777127959561007,Between-Group (Male vs Female),Median Value (nm),,False
X3min - X1hr,,10.099999999999989,6.607876192679295,18.0,1.5284790007399855,0.1437763051124957,0.39584369050215995,Within-Group (Time Point Changes),Median Value (nm),Female,False
X3min - X2hrs,,-3.020000000000027,9.478411728179404,18.0,-0.3186187819866001,0.753683014295459,0.753683014295459,Within-Group (Time Point Changes),Median Value (nm),Female,False
X1hr - X2hrs,,-13.120000000000017,8.313635720242312,18.0,-1.578130247883608,0.1319478968340533,0.39584369050215995,Within-Group (Time Point Changes),Median Value (nm),Female,False
X3min - X1hr,,16.549999999999986,6.607876192679295,18.0,2.504586877450175,0.022096278937014265,0.06628883681104279,Within-Group (Time Point Changes),Median Value (nm),Male,False
X3min - X2hrs,,2.6199999999999646,9.478411728179404,18.0,0.2764176188095608,0.7853762056585308,0.7853762056585308,Within-Group (Time Point Changes),Median Value (nm),Male,False
X1hr - X2hrs,,-13.930000000000023,8.313635720242312,18.0,-1.6755605451995934,0.11110802569622094,0.22221605139244188,Within-Group (Time Point Changes),Median Value (nm),Male,False
