Protein,Effect,N,p_value_raw,Partial_Eta_Squared,p_value_FDR
Probable non-functional immunoglobulin kappa variable 3-7,TimePoint:Group,20,0.331,0.055,0.8057777777777778
Probable non-functional immunoglobulin kappa variable 3-7,Group,20,0.704,0.008,0.8121870824053451
Probable non-functional immunoglobulin kappa variable 3-7,TimePoint,20,0.143,0.112,0.5073561643835616
Apolipoprotein A-IV,TimePoint:Group,20,0.414,0.048,0.8057777777777778
Apolipoprotein A-IV,Group,20,0.996,0.001,0.997
Apolipoprotein A-IV,TimePoint,20,0.014,0.213,0.226625
Coagulation factor XII,TimePoint:Group,20,0.532,0.033,0.846914110429448
Coagulation factor XII,Group,20,0.869,0.002,0.9186571428571428
Coagulation factor XII,TimePoint,20,0.163,0.098,0.5507848101265823
Mannan-binding lectin serine protease 1,TimePoint:Group,20,0.711,0.011,0.8942711864406779
Mannan-binding lectin serine protease 1,Group,20,0.033,0.228,0.10750943396226416
Mannan-binding lectin serine protease 1,TimePoint,20,0.589,0.02,0.8048923076923076
Complement factor I,TimePoint:Group,20,0.675,0.019,0.883950248756219
Complement factor I,Group,20,0.026,0.247,0.09288275862068965
Complement factor I,TimePoint,20,0.154,0.101,0.5318133333333334
Platelet glycoprotein Ib alpha chain,TimePoint:Group,20,0.098,0.122,0.8057777777777778
Platelet glycoprotein Ib alpha chain,Group,20,0.001,0.499,0.010791666666666668
Platelet glycoprotein Ib alpha chain,TimePoint,20,0.486,0.039,0.7668277945619335
Hepatocyte growth factor-like protein,TimePoint:Group,20,0.63,0.022,0.8710578947368421
Hepatocyte growth factor-like protein,Group,20,0.032,0.231,0.1055796178343949
Hepatocyte growth factor-like protein,TimePoint,20,0.048,0.166,0.3453333333333334
Profilin-1,TimePoint:Group,20,0.639,0.014,0.8710578947368421
Profilin-1,Group,20,0.227,0.08,0.38426797385620914
Profilin-1,TimePoint,20,0.067,0.169,0.36921276595744684
Peptidase inhibitor 16,TimePoint:Group,20,0.382,0.052,0.8057777777777778
Peptidase inhibitor 16,Group,20,0.007,0.338,0.040741573033707866
Peptidase inhibitor 16,TimePoint,20,0.21,0.083,0.6066417112299465
Cell surface glycoprotein MUC18,TimePoint:Group,20,0.663,0.022,0.8800714285714286
Cell surface glycoprotein MUC18,Group,20,0.026,0.246,0.09288275862068965
Cell surface glycoprotein MUC18,TimePoint,20,0.502,0.038,0.7701238938053097
Adhesion G-protein coupled receptor G6,TimePoint:Group,20,0.851,0.007,0.9463461538461538
Adhesion G-protein coupled receptor G6,Group,20,0.086,0.155,0.20157466063348414
Adhesion G-protein coupled receptor G6,TimePoint,20,0.406,0.048,0.7323448275862069
Immunoglobulin heavy variable 1-69,TimePoint:Group,20,0.183,0.093,0.8057777777777778
Immunoglobulin heavy variable 1-69,Group,20,0.346,0.05,0.5034494382022472
Immunoglobulin heavy variable 1-69,TimePoint,20,0.042,0.181,0.3453333333333333
Insulin-like growth factor-binding protein complex acid labile subunit,TimePoint:Group,20,0.609,0.027,0.8656793478260869
Insulin-like growth factor-binding protein complex acid labile subunit,Group,20,0.982,0.001,0.9915711500974659
Insulin-like growth factor-binding protein complex acid labile subunit,TimePoint,20,0.289,0.067,0.6676444444444444
Plasma serine protease inhibitor,TimePoint:Group,20,0.183,0.091,0.8057777777777778
Plasma serine protease inhibitor,Group,20,0.018,0.274,0.07642622950819672
Plasma serine protease inhibitor,TimePoint,20,0.12,0.112,0.4673684210526316
Immunoglobulin heavy variable 1-69D,TimePoint:Group,20,0.223,0.081,0.8057777777777778
Immunoglobulin heavy variable 1-69D,Group,20,0.072,0.169,0.17266666666666666
Immunoglobulin heavy variable 1-69D,TimePoint,20,0.288,0.067,0.6676444444444444
Pancreatic adenocarcinoma up-regulated factor,TimePoint:Group,20,0.366,0.048,0.8057777777777778
Pancreatic adenocarcinoma up-regulated factor,Group,20,0.057,0.186,0.1521958762886598
Pancreatic adenocarcinoma up-regulated factor,TimePoint,20,0.366,0.048,0.7129667896678967
Immunoglobulin heavy variable 3-64D,TimePoint:Group,20,0.33,0.06,0.8057777777777778
Immunoglobulin heavy variable 3-64D,Group,20,0.324,0.054,0.48227586206896556
Immunoglobulin heavy variable 3-64D,TimePoint,20,0.211,0.083,0.6066417112299465
Neutrophil gelatinase-associated lipocalin,TimePoint:Group,20,0.48,0.039,0.8268076923076922
Neutrophil gelatinase-associated lipocalin,Group,20,0.822,0.003,0.8876929460580912
Neutrophil gelatinase-associated lipocalin,TimePoint,20,0.298,0.065,0.6770350877192982
Lysosome-associated membrane glycoprotein 2,TimePoint:Group,20,0.016,0.216,0.8057777777777778
Lysosome-associated membrane glycoprotein 2,Group,20,0.403,0.039,0.5578461538461539
Lysosome-associated membrane glycoprotein 2,TimePoint,20,0.52,0.034,0.7777421203438396
Corneodesmosin,TimePoint:Group,20,0.343,0.057,0.8057777777777778
Corneodesmosin,Group,20,0.334,0.052,0.49291168091168097
Corneodesmosin,TimePoint,20,0.74,0.015,0.8827385321100918
Collagen alpha-1(XVIII) chain,TimePoint:Group,20,0.375,0.046,0.8057777777777778
Collagen alpha-1(XVIII) chain,Group,20,0.001,0.462,0.010791666666666668
Collagen alpha-1(XVIII) chain,TimePoint,20,0.451,0.034,0.7539044585987261
Lipopolysaccharide-binding protein,TimePoint:Group,20,0.007,0.258,0.8057777777777778
Lipopolysaccharide-binding protein,Group,20,0.951,0.001,0.9697204724409448
Lipopolysaccharide-binding protein,TimePoint,20,0.046,0.164,0.3453333333333333
Immunoglobulin heavy variable 3-49,TimePoint:Group,20,0.061,0.152,0.8057777777777778
Immunoglobulin heavy variable 3-49,Group,20,0.004,0.371,0.0259
Immunoglobulin heavy variable 3-49,TimePoint,20,0.918,0.003,0.945375745526839
SPARC-like protein 1,TimePoint:Group,20,0.292,0.066,0.8057777777777778
SPARC-like protein 1,Group,20,0.001,0.544,0.010791666666666668
SPARC-like protein 1,TimePoint,20,0.669,0.021,0.8370579710144929
Ras-associated and pleckstrin homology domains-containing protein 1,TimePoint:Group,20,0.724,0.016,0.8972057416267941
Ras-associated and pleckstrin homology domains-containing protein 1,Group,20,0.308,0.058,0.4665029239766082
Ras-associated and pleckstrin homology domains-containing protein 1,TimePoint,20,0.733,0.016,0.8809605568445475
Alpha-1-acid glycoprotein 2,TimePoint:Group,20,0.096,0.13,0.8057777777777778
Alpha-1-acid glycoprotein 2,Group,20,0.004,0.379,0.0259
Alpha-1-acid glycoprotein 2,TimePoint,20,0.003,0.306,0.111
Immunoglobulin heavy variable 3-20,TimePoint:Group,20,0.655,0.019,0.8762056555269923
Immunoglobulin heavy variable 3-20,Group,20,0.003,0.386,0.02252173913043478
Immunoglobulin heavy variable 3-20,TimePoint,20,0.884,0.004,0.9288275862068965
Neurogenic locus notch homolog protein 2,TimePoint:Group,20,0.249,0.074,0.8057777777777778
Neurogenic locus notch homolog protein 2,Group,20,0.001,0.65,0.010791666666666668
Neurogenic locus notch homolog protein 2,TimePoint,20,0.237,0.077,0.6295692307692307
Apolipoprotein B-100,TimePoint:Group,20,0.751,0.011,0.9067990762124711
Apolipoprotein B-100,Group,20,0.274,0.066,0.431404255319149
Apolipoprotein B-100,TimePoint,20,0.272,0.069,0.6622831050228312
CD44 antigen,TimePoint:Group,20,0.405,0.049,0.8057777777777778
CD44 antigen,Group,20,0.001,0.565,0.010791666666666668
CD44 antigen,TimePoint,20,0.536,0.034,0.7841944444444444
Pigment epithelium-derived factor,TimePoint:Group,20,0.357,0.053,0.8057777777777778
Pigment epithelium-derived factor,Group,20,0.043,0.209,0.1265568181818182
Pigment epithelium-derived factor,TimePoint,20,0.014,0.238,0.226625
Xaa-Pro dipeptidase,TimePoint:Group,20,0.198,0.087,0.8057777777777778
Xaa-Pro dipeptidase,Group,20,0.006,0.351,0.03572413793103448
Xaa-Pro dipeptidase,TimePoint,20,0.113,0.119,0.46455555555555555
Immunoglobulin heavy constant delta,TimePoint:Group,20,0.36,0.048,0.8057777777777778
Immunoglobulin heavy constant delta,Group,20,0.257,0.071,0.41633644859813085
Immunoglobulin heavy constant delta,TimePoint,20,0.278,0.066,0.6622831050228312
Probable non-functional immunoglobulin heavy variable 3-38-3,TimePoint:Group,20,0.413,0.038,0.8057777777777778
Probable non-functional immunoglobulin heavy variable 3-38-3,Group,20,0.01,0.318,0.04886792452830189
Probable non-functional immunoglobulin heavy variable 3-38-3,TimePoint,20,0.371,0.045,0.7129667896678967
Immunoglobulin lambda constant 7,TimePoint:Group,20,0.526,0.035,0.8451578947368422
Immunoglobulin lambda constant 7,Group,20,0.428,0.035,0.5743626943005181
Immunoglobulin lambda constant 7,TimePoint,20,0.66,0.023,0.8370579710144929
Receptor-type tyrosine-protein phosphatase gamma,TimePoint:Group,20,0.593,0.023,0.8647843137254903
Receptor-type tyrosine-protein phosphatase gamma,Group,20,0.001,0.769,0.010791666666666668
Receptor-type tyrosine-protein phosphatase gamma,TimePoint,20,0.986,0.001,0.986
Afamin,TimePoint:Group,20,0.722,0.017,0.8972057416267941
Afamin,Group,20,0.189,0.094,0.33759310344827587
Afamin,TimePoint,20,0.034,0.176,0.33869230769230774
Pyruvate kinase PKLR,TimePoint:Group,20,0.471,0.041,0.8268076923076922
Pyruvate kinase PKLR,Group,20,0.3,0.06,0.45705882352941174
Pyruvate kinase PKLR,TimePoint,20,0.014,0.215,0.226625
Insulin-like growth factor 2,TimePoint:Group,20,0.48,0.039,0.8268076923076922
Insulin-like growth factor 2,Group,20,0.046,0.203,0.1331173184357542
Insulin-like growth factor 2,TimePoint,20,0.118,0.114,0.4665954198473282
CD109 antigen,TimePoint:Group,20,0.417,0.041,0.8057777777777778
CD109 antigen,Group,20,0.001,0.522,0.010791666666666668
CD109 antigen,TimePoint,20,0.639,0.017,0.8295789473684211
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,TimePoint:Group,20,0.011,0.282,0.8057777777777778
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Group,20,0.01,0.315,0.04886792452830189
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,TimePoint,20,0.024,0.231,0.28911627906976745
Dedicator of cytokinesis protein 4,TimePoint:Group,20,0.937,0.003,0.97384
Dedicator of cytokinesis protein 4,Group,20,0.028,0.24,0.09669333333333334
Dedicator of cytokinesis protein 4,TimePoint,20,0.199,0.087,0.5974659090909091
Complement factor H-related protein 2,TimePoint:Group,20,0.497,0.034,0.8268076923076922
Complement factor H-related protein 2,Group,20,0.406,0.039,0.5578461538461539
Complement factor H-related protein 2,TimePoint,20,0.835,0.007,0.9144397463002114
Selenoprotein P,TimePoint:Group,20,0.627,0.02,0.8710578947368421
Selenoprotein P,Group,20,0.132,0.122,0.27008560311284047
Selenoprotein P,TimePoint,20,0.441,0.04,0.7514407894736842
