TimePoint,Group,contrast,estimate,std_error,df,t_ratio,p_value_raw,Contrast_Type,Protein,p_value_FDR,Significant_FDR
X3min,.,Female - Male,-213.04788208007668,170.1139405883205,18.0,-1.252383439847868,0.2264584565885729,Between-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.608377105393922,False
X1hr,.,Female - Male,353.98178770125753,679.2058992286954,18.0,0.5211700724378843,0.6086012508236376,Between-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.8892410591196844,False
X2hrs,.,Female - Male,-457.17613914417643,248.43800283899245,18.0,-1.8402021185159134,0.0822876605084303,Between-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.4102941960324086,False
.,Female,X3min - X1hr,-888.1845831114115,470.97206677760937,18.0,-1.885854057520587,0.07555840659858266,Within-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.39646797790906046,False
.,Female,X3min - X2hrs,-100.24729988170266,175.8765660452638,18.0,-0.569986679498296,0.5757326368287836,Within-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.8652693594119243,False
.,Female,X1hr - X2hrs,787.9372832297088,490.33809446165907,18.0,1.6069265107676023,0.1254700862611258,Within-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.4845302812212715,False
.,Male,X3min - X1hr,-321.1549133300773,470.97206677760937,18.0,-0.6818980062393488,0.503984002035345,Within-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.8239262130821031,False
.,Male,X3min - X2hrs,-344.37555694580243,175.8765660452638,18.0,-1.9580525404230007,0.06590829140543134,Within-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.37334684633307524,False
.,Male,X1hr - X2hrs,-23.220643615725123,490.33809446165907,18.0,-0.047356393227450555,0.9627506591825139,Within-Group,Probable non-functional immunoglobulin kappa variable 3-7,0.9941802582281711,False
X3min,.,Female - Male,657.9035400390658,960.7164992386708,18.0,0.6848050809582513,0.5021905170777088,Between-Group,Apolipoprotein A-IV,0.8236548327166776,False
X1hr,.,Female - Male,-120.96890415385299,743.1953860442931,18.0,-0.16276864257422,0.8725140057370346,Between-Group,Apolipoprotein A-IV,0.979973292112892,False
X2hrs,.,Female - Male,-522.611712266962,1281.2814746655108,18.0,-0.40788204824657603,0.6881708709483786,Between-Group,Apolipoprotein A-IV,0.9167644173122973,False
.,Female,X3min - X1hr,1242.7900223179163,631.6153747113993,18.0,1.9676373819838977,0.06471353587209216,Within-Group,Apolipoprotein A-IV,0.36936637650004406,False
.,Female,X3min - X2hrs,59.51442222790314,587.5189716946962,18.0,0.10129787308184111,0.9204338555712881,Within-Group,Apolipoprotein A-IV,0.9919238637709998,False
.,Female,X1hr - X2hrs,-1183.275600090013,676.8639584950802,18.0,-1.748173447912449,0.09746917170830127,Within-Group,Apolipoprotein A-IV,0.4409562191352179,False
.,Male,X3min - X1hr,463.9175781249974,631.6153747113993,18.0,0.7344938022399673,0.47210873725784974,Within-Group,Apolipoprotein A-IV,0.8059212497605622,False
.,Male,X3min - X2hrs,-1121.0008300781246,587.5189716946963,18.0,-1.9080249048717555,0.07246952790987125,Within-Group,Apolipoprotein A-IV,0.38744603109612363,False
.,Male,X1hr - X2hrs,-1584.918408203122,676.8639584950802,18.0,-2.3415612373969266,0.030907321193483103,Within-Group,Apolipoprotein A-IV,0.25064236928183403,False
X3min,.,Female - Male,-44.373011779785465,178.25425911990462,18.0,-0.24893100450372682,0.8062323725239688,Between-Group,Coagulation factor XII,0.9647794599850378,False
X1hr,.,Female - Male,32.65238532652452,158.65885323627484,18.0,0.20580247909581553,0.8392549049256055,Between-Group,Coagulation factor XII,0.9716434044076467,False
X2hrs,.,Female - Male,-62.847521284828666,133.81541435854518,18.0,-0.46965830944135434,0.6442386057076784,Between-Group,Coagulation factor XII,0.9017973388833196,False
.,Female,X3min - X1hr,22.132044605115453,63.27838430263879,18.0,0.3497567905537139,0.7305801108338184,Within-Group,Coagulation factor XII,0.9370539569956985,False
.,Female,X3min - X2hrs,-19.01383430599106,75.25099330780883,18.0,-0.2526722036507389,0.8033844426171217,Within-Group,Coagulation factor XII,0.9647794599850378,False
