Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,VCAM-1,time1,20,17,0.07584756522219971,"[-0.39, 0.51]",0.7576169359412983,0.9801152555250152,False
Apolipoprotein A-IV,VCAM-1,time1,20,17,0.18240641452210013,"[-0.30, 0.59]",0.4548111896950313,0.9475226562356492,False
Coagulation factor XII,VCAM-1,time1,20,17,0.11029082533067337,"[-0.36, 0.54]",0.6530820015637933,0.9727025356993781,False
Mannan-binding lectin serine protease 1,VCAM-1,time1,20,17,0.24971086346809562,"[-0.23, 0.63]",0.30253148923490564,0.9092501161627901,False
Complement factor I,VCAM-1,time1,20,17,0.17420640040155608,"[-0.30, 0.58]",0.4756727290456587,0.9490470582811139,False
Platelet glycoprotein Ib alpha chain,VCAM-1,time1,20,17,-0.23410027160306013,"[-0.62, 0.25]",0.3347256045150663,0.9228780234657803,False
Hepatocyte growth factor-like protein,VCAM-1,time1,20,17,0.07099135879908085,"[-0.40, 0.51]",0.772734000121702,0.9801152555250152,False
Profilin-1,VCAM-1,time1,20,17,-0.1699147649459487,"[-0.58, 0.31]",0.4867776602400965,0.9490470582811139,False
Peptidase inhibitor 16,VCAM-1,time1,20,17,0.21126076354003173,"[-0.27, 0.61]",0.38528063791202904,0.93529265347299,False
Cell surface glycoprotein MUC18,VCAM-1,time1,20,17,-0.009625512929427076,"[-0.46, 0.45]",0.9688035769634931,0.9968025768799772,False
Adhesion G-protein coupled receptor G6,VCAM-1,time1,20,17,-0.1381187982975214,"[-0.56, 0.34]",0.572830520697037,0.964373317959387,False
Immunoglobulin heavy variable 1-69,VCAM-1,time1,20,17,-0.2605359729171218,"[-0.64, 0.22]",0.2813483060196171,0.9065307051121988,False
Insulin-like growth factor-binding protein complex acid labile subunit,VCAM-1,time1,20,17,0.19410175047343156,"[-0.29, 0.60]",0.4258880913870652,0.9423081271208602,False
Plasma serine protease inhibitor,VCAM-1,time1,20,17,-0.13274580732603863,"[-0.55, 0.34]",0.5879903200653906,0.9664280455258161,False
Immunoglobulin heavy variable 1-69D,VCAM-1,time1,20,17,0.12604471934918007,"[-0.35, 0.55]",0.6071293350219682,0.9674436399003942,False
Pancreatic adenocarcinoma up-regulated factor,VCAM-1,time1,20,17,0.07664237461024222,"[-0.39, 0.51]",0.7551505901425327,0.9801152555250152,False
Immunoglobulin heavy variable 3-64D,VCAM-1,time1,20,17,-0.15189075523574855,"[-0.57, 0.32]",0.5347658864825373,0.956939791095375,False
Neutrophil gelatinase-associated lipocalin,VCAM-1,time1,20,17,-0.10841869646816502,"[-0.54, 0.36]",0.6586273705756013,0.9727025356993781,False
Lysosome-associated membrane glycoprotein 2,VCAM-1,time1,20,17,0.09537936241198962,"[-0.38, 0.53]",0.6977113605208358,0.9776331387968129,False
Corneodesmosin,VCAM-1,time1,20,17,0.08835567777189358,"[-0.38, 0.52]",0.7190776038421636,0.9776331387968129,False
Collagen alpha-1(XVIII) chain,VCAM-1,time1,20,17,0.07916557397712702,"[-0.39, 0.51]",0.74733605500203,0.9800578656143004,False
Lipopolysaccharide-binding protein,VCAM-1,time1,20,17,-0.19483559713802134,"[-0.60, 0.28]",0.4241064686465935,0.9423081271208602,False
Immunoglobulin heavy variable 3-49,VCAM-1,time1,20,17,0.12183821812626092,"[-0.35, 0.55]",0.61927090299806,0.9690688870179857,False
SPARC-like protein 1,VCAM-1,time1,20,17,0.03744101405262388,"[-0.42, 0.48]",0.8790492442081761,0.9904757438185477,False
Ras-associated and pleckstrin homology domains-containing protein 1,VCAM-1,time1,20,17,0.3254198497197274,"[-0.15, 0.68]",0.1739808884279387,0.8670490681926589,False
Alpha-1-acid glycoprotein 2,VCAM-1,time1,20,17,-0.0036309048783231632,"[-0.46, 0.45]",0.9882298481845813,0.9985311374400043,False
Immunoglobulin heavy variable 3-20,VCAM-1,time1,20,17,-0.2762127325625308,"[-0.65, 0.20]",0.25233740304183405,0.9026988161882973,False
Neurogenic locus notch homolog protein 2,VCAM-1,time1,20,17,-0.025840887328653115,"[-0.47, 0.43]",0.9163695822505353,0.9922730367848301,False
Apolipoprotein B-100,VCAM-1,time1,20,17,-0.2173007206990145,"[-0.61, 0.26]",0.3715177279670683,0.9331984327125906,False
CD44 antigen,VCAM-1,time1,20,17,0.11362638267354709,"[-0.36, 0.54]",0.6432450373160319,0.9727025356993781,False
Pigment epithelium-derived factor,VCAM-1,time1,20,17,-0.03850205171770753,"[-0.48, 0.42]",0.8756466335858255,0.9900883407598418,False
Xaa-Pro dipeptidase,VCAM-1,time1,20,17,-0.09327270494222442,"[-0.53, 0.38]",0.7040978760780832,0.9776331387968129,False
Immunoglobulin heavy constant delta,VCAM-1,time1,20,17,-0.34932183914682396,"[-0.69, 0.12]",0.14266601951423669,0.8561283647858903,False
Probable non-functional immunoglobulin heavy variable 3-38-3,VCAM-1,time1,20,17,-0.023473418171114736,"[-0.47, 0.44]",0.9240094074526033,0.9927020805121309,False
Immunoglobulin lambda constant 7,VCAM-1,time1,20,17,0.07912871679946158,"[-0.39, 0.51]",0.7474500367649692,0.9800578656143004,False
Receptor-type tyrosine-protein phosphatase gamma,VCAM-1,time1,20,17,-0.15853733577308807,"[-0.57, 0.32]",0.5168210286013848,0.9534584813068281,False
Afamin,VCAM-1,time1,20,17,0.040074205985219026,"[-0.42, 0.49]",0.8706087928296886,0.9898748908532263,False
Pyruvate kinase PKLR,VCAM-1,time1,20,17,0.30164310674136546,"[-0.18, 0.66]",0.20945921770052678,0.8825051811304796,False
Insulin-like growth factor 2,VCAM-1,time1,20,17,0.004068104213016658,"[-0.45, 0.46]",0.9868127084366367,0.9985067795810461,False
CD109 antigen,VCAM-1,time1,20,17,-0.1982028603952882,"[-0.60, 0.28]",0.41598245162524905,0.9413186352336999,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,VCAM-1,time1,20,17,-0.39273946735798687,"[-0.72, 0.07]",0.09625095318280333,0.8244098274625666,False
Dedicator of cytokinesis protein 4,VCAM-1,time1,20,17,-0.2746095722741284,"[-0.65, 0.21]",0.25521362515262647,0.9026988161882973,False
Complement factor H-related protein 2,VCAM-1,time1,20,17,-0.30442637759710905,"[-0.67, 0.17]",0.2050780371968171,0.8825051811304796,False
Selenoprotein P,VCAM-1,time1,20,17,-0.20678766902862505,"[-0.60, 0.27]",0.3956529046973737,0.9370768739432621,False
