Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,VCAM-1,20,39,-0.12499999999999929,"[-0.42, 0.19]",0.43615664702310897,0.8876347200567427,False
Apolipoprotein A-IV,VCAM-1,20,39,-0.049999999999999725,"[-0.35, 0.26]",0.7562191489680836,0.9227193883626084,False
Coagulation factor XII,VCAM-1,20,39,-0.12500000000000033,"[-0.42, 0.19]",0.4361566470231073,0.8876347200567427,False
Mannan-binding lectin serine protease 1,VCAM-1,20,39,-4.302114220422482e-16,"[-0.31, 0.31]",1.0,1.0,False
Complement factor I,VCAM-1,20,39,-0.299999999999999,"[-0.56, 0.01]",0.05669100677848894,0.6678541882158922,False
Platelet glycoprotein Ib alpha chain,VCAM-1,20,39,0.15000000000000066,"[-0.17, 0.44]",0.3492337410521762,0.8647131516112795,False
Hepatocyte growth factor-like protein,VCAM-1,20,39,-0.12499999999999896,"[-0.42, 0.19]",0.4361566470231122,0.8876347200567427,False
Profilin-1,VCAM-1,20,39,0.3249999999999999,"[0.02, 0.58]",0.03814283706459527,0.6163042627354746,False
Peptidase inhibitor 16,VCAM-1,20,39,0.12499999999999985,"[-0.19, 0.42]",0.4361566470231073,0.8876347200567427,False
Cell surface glycoprotein MUC18,VCAM-1,20,39,0.07500000000000002,"[-0.24, 0.37]",0.6411866947841472,0.9119421843283999,False
Adhesion G-protein coupled receptor G6,VCAM-1,20,39,0.3499999999999998,"[0.05, 0.59]",0.02487954703887687,0.5653917192886524,False
Immunoglobulin heavy variable 1-69,VCAM-1,20,39,-0.17499999999999918,"[-0.46, 0.14]",0.2737947926383973,0.8428725551385186,False
Insulin-like growth factor-binding protein complex acid labile subunit,VCAM-1,20,39,-0.2749999999999994,"[-0.54, 0.04]",0.08183609289594752,0.721370004045766,False
Plasma serine protease inhibitor,VCAM-1,20,39,-0.09999999999999977,"[-0.40, 0.21]",0.5338939001152971,0.8976553096735705,False
Immunoglobulin heavy variable 1-69D,VCAM-1,20,39,-0.17500000000000013,"[-0.46, 0.14]",0.27379479263839523,0.8428725551385186,False
Pancreatic adenocarcinoma up-regulated factor,VCAM-1,20,39,6.800116025829085e-16,"[-0.31, 0.31]",1.0,1.0,False
Immunoglobulin heavy variable 3-64D,VCAM-1,20,39,-5.273559366969491e-16,"[-0.31, 0.31]",1.0,1.0,False
Neutrophil gelatinase-associated lipocalin,VCAM-1,20,39,0.02499999999999976,"[-0.28, 0.33]",0.8767016791266298,0.9339182225112322,False
