Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Leuk,time1,20,17,0.044870573586715805,"[-0.42, 0.49]",0.8552694462003038,0.9928150111527771,False
Apolipoprotein A-IV,Leuk,time1,20,17,0.0177395290924226,"[-0.44, 0.47]",0.9425378333040815,0.9989122224583239,False
Coagulation factor XII,Leuk,time1,20,17,0.12653750108629422,"[-0.35, 0.55]",0.6057133239824681,0.9621706909906743,False
Mannan-binding lectin serine protease 1,Leuk,time1,20,17,-0.3176589435700796,"[-0.67, 0.16]",0.18507873336225242,0.878412326765734,False
Complement factor I,Leuk,time1,20,17,0.35326923066381133,"[-0.12, 0.70]",0.13790088754599233,0.8528097685297457,False
Platelet glycoprotein Ib alpha chain,Leuk,time1,20,17,0.14155163996653888,"[-0.33, 0.56]",0.5632340658014938,0.9574313225752206,False
Hepatocyte growth factor-like protein,Leuk,time1,20,17,0.14528443505570826,"[-0.33, 0.56]",0.5528798412543797,0.9571984418476326,False
Profilin-1,Leuk,time1,20,17,-0.20999522135198137,"[-0.61, 0.27]",0.3881997528935327,0.931256717265325,False
Peptidase inhibitor 16,Leuk,time1,20,17,-0.010862211742365175,"[-0.46, 0.45]",0.9647976482440623,0.9989122224583239,False
Cell surface glycoprotein MUC18,Leuk,time1,20,17,0.4056283564656234,"[-0.06, 0.73]",0.08488258357620777,0.8154186244354011,False
Adhesion G-protein coupled receptor G6,Leuk,time1,20,17,-0.2637159339105102,"[-0.64, 0.22]",0.27530408729287537,0.9170614304794888,False
Immunoglobulin heavy variable 1-69,Leuk,time1,20,17,0.03217668714264229,"[-0.43, 0.48]",0.8959601914755531,0.997559861248858,False
Insulin-like growth factor-binding protein complex acid labile subunit,Leuk,time1,20,17,0.319711373538041,"[-0.16, 0.68]",0.18209872343771763,0.8781742060801173,False
Plasma serine protease inhibitor,Leuk,time1,20,17,0.3267068542879848,"[-0.15, 0.68]",0.17218517526078866,0.867816664987516,False
Immunoglobulin heavy variable 1-69D,Leuk,time1,20,17,-0.11905966107769254,"[-0.54, 0.35]",0.6273432078305954,0.9621706909906743,False
Pancreatic adenocarcinoma up-regulated factor,Leuk,time1,20,17,-0.001975553636657314,"[-0.46, 0.45]",0.9935957821810815,0.998994958440865,False
Immunoglobulin heavy variable 3-64D,Leuk,time1,20,17,0.15059358500927658,"[-0.33, 0.57]",0.5383010277830393,0.954665480182609,False
Neutrophil gelatinase-associated lipocalin,Leuk,time1,20,17,0.2841742880443173,"[-0.20, 0.65]",0.2383587030465219,0.8982115991698657,False
Lysosome-associated membrane glycoprotein 2,Leuk,time1,20,17,0.09886774925410163,"[-0.37, 0.53]",0.6871788429723774,0.9648380336571762,False
Corneodesmosin,Leuk,time1,20,17,-0.07620794323257396,"[-0.51, 0.39]",0.7564983798867883,0.9745063647413549,False
Collagen alpha-1(XVIII) chain,Leuk,time1,20,17,-0.024405185712514557,"[-0.47, 0.43]",0.9210017966169645,0.9985551599450393,False
Lipopolysaccharide-binding protein,Leuk,time1,20,17,0.16003668078840513,"[-0.32, 0.57]",0.5128126094372403,0.9529295397056773,False
Immunoglobulin heavy variable 3-49,Leuk,time1,20,17,0.021515534797377566,"[-0.44, 0.47]",0.930332342513216,0.9989122224583239,False
SPARC-like protein 1,Leuk,time1,20,17,-0.13709862003745457,"[-0.56, 0.34]",0.5756959314216545,0.9585981157899655,False
Ras-associated and pleckstrin homology domains-containing protein 1,Leuk,time1,20,17,-0.15826846993654387,"[-0.57, 0.32]",0.5175413828306686,0.9529295397056773,False
Alpha-1-acid glycoprotein 2,Leuk,time1,20,17,0.2072926798097072,"[-0.27, 0.60]",0.39447427073564467,0.931256717265325,False
Immunoglobulin heavy variable 3-20,Leuk,time1,20,17,-0.009286929076443387,"[-0.46, 0.45]",0.9699004502139521,0.9989122224583239,False
Neurogenic locus notch homolog protein 2,Leuk,time1,20,17,-0.20151662189278458,"[-0.60, 0.28]",0.40806973050531525,0.9318821411825824,False
Apolipoprotein B-100,Leuk,time1,20,17,-0.5228044945800089,"[-0.79, -0.09]",0.02163765653877886,0.780717100347183,False
CD44 antigen,Leuk,time1,20,17,-0.04870682584492891,"[-0.49, 0.41]",0.8430360699199028,0.9910182692199748,False
Pigment epithelium-derived factor,Leuk,time1,20,17,0.35885967678444325,"[-0.11, 0.70]",0.13134461376818812,0.847666490299985,False
Xaa-Pro dipeptidase,Leuk,time1,20,17,0.43421370011697136,"[-0.02, 0.74]",0.0632285219737678,0.7845863525077257,False
Immunoglobulin heavy constant delta,Leuk,time1,20,17,-0.010485472431719503,"[-0.46, 0.45]",0.9660179051919705,0.9989122224583239,False
Probable non-functional immunoglobulin heavy variable 3-38-3,Leuk,time1,20,17,-0.2845063921750325,"[-0.65, 0.19]",0.23778662438532713,0.8982115991698657,False
Immunoglobulin lambda constant 7,Leuk,time1,20,17,-0.26022435513454023,"[-0.64, 0.22]",0.2819449696418991,0.9170614304794888,False
Receptor-type tyrosine-protein phosphatase gamma,Leuk,time1,20,17,0.21482924846860327,"[-0.27, 0.61]",0.37711547102866305,0.9300516392509022,False
Afamin,Leuk,time1,20,17,0.13292943641516855,"[-0.34, 0.55]",0.5874694448840507,0.9610066239456336,False
Pyruvate kinase PKLR,Leuk,time1,20,17,-0.21037933145011334,"[-0.61, 0.27]",0.38731246914446404,0.931256717265325,False
Insulin-like growth factor 2,Leuk,time1,20,17,0.19411427069179227,"[-0.29, 0.60]",0.4258576617487705,0.9324335195406078,False
CD109 antigen,Leuk,time1,20,17,0.3956663736754571,"[-0.07, 0.72]",0.09357737501388559,0.8154186244354011,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Leuk,time1,20,17,0.142131413120903,"[-0.33, 0.56]",0.561620303729973,0.9574313225752206,False
Dedicator of cytokinesis protein 4,Leuk,time1,20,17,-0.1366601883572555,"[-0.56, 0.34]",0.5769292562797947,0.9585981157899655,False
Complement factor H-related protein 2,Leuk,time1,20,17,0.23735346695046755,"[-0.24, 0.62]",0.3278569124759493,0.9236478900056884,False
Selenoprotein P,Leuk,time1,20,17,-0.06460403982124029,"[-0.50, 0.40]",0.7927364545123716,0.9829289789516314,False
Adipocyte plasma membrane-associated protein,Leuk,time1,20,17,0.19703306334476406,"[-0.28, 0.60]",0.41879524667733303,0.9324135167651676,False
Immunoglobulin heavy constant alpha 2,Leuk,time1,20,17,0.09533427663916148,"[-0.38, 0.53]",0.6978478402023922,0.9648380336571762,False
Lactotransferrin,Leuk,time1,20,17,0.1558715846573742,"[-0.32, 0.57]",0.5239839838203694,0.9529295397056773,False
Alpha-enolase,Leuk,time1,20,17,-0.13871030147684263,"[-0.56, 0.34]",0.5711719672434513,0.9575202748664524,False
Immunoglobulin heavy constant gamma 1,Leuk,time1,20,17,0.23116409447214079,"[-0.25, 0.62]",0.34099666880044455,0.926595760949047,False
Collectin-10,Leuk,time1,20,17,-0.25603761707367734,"[-0.64, 0.22]",0.29003695540267216,0.9177310147446764,False
Lysosome-associated membrane glycoprotein 1,Leuk,time1,20,17,0.032209882739940944,"[-0.43, 0.48]",0.8958534128202047,0.997559861248858,False
Cathelicidin antimicrobial peptide,Leuk,time1,20,17,-0.23613823369237474,"[-0.62, 0.24]",0.3304129270540842,0.9236478900056884,False
Fibroblast growth factor-binding protein 2,Leuk,time1,20,17,-0.3166565655431949,"[-0.67, 0.16]",0.18654596773850748,0.878412326765734,False
Lymphatic vessel endothelial hyaluronic acid receptor 1,Leuk,time1,20,17,-0.09085884119054373,"[-0.52, 0.38]",0.7114390704527878,0.9656789320774398,False
Haptoglobin,Leuk,time1,20,17,0.38654832285545976,"[-0.08, 0.72]",0.10208835849360794,0.8265112390333225,False
Tenascin-X,Leuk,time1,20,17,0.11864684385544884,"[-0.35, 0.54]",0.6285460248365293,0.9621706909906743,False
Zinc finger protein 512B,Leuk,time1,20,17,-0.1515930822995062,"[-0.57, 0.32]",0.535576184333641,0.954665480182609,False
Immunoglobulin lambda variable 3-19,Leuk,time1,20,17,-0.02371797077091488,"[-0.47, 0.44]",0.923219929880947,0.9988788261324435,False
Complement C1q subcomponent subunit B,Leuk,time1,20,17,0.09568330650312053,"[-0.37, 0.53]",0.6967915197383964,0.9648380336571762,False
Ubiquitin-ribosomal protein eS31 fusion protein,Leuk,time1,20,17,-0.08687924390738883,"[-0.52, 0.38]",0.7235950552773747,0.9673286249298616,False
Kinesin-like protein KIF21A,Leuk,time1,20,17,-0.2476950354873995,"[-0.63, 0.23]",0.3065797265932895,0.9236478900056884,False
Attractin,Leuk,time1,20,17,-0.22896471834188528,"[-0.62, 0.25]",0.3457385154238466,0.926595760949047,False
Immunoglobulin lambda variable 1-44,Leuk,time1,20,17,-0.17538254880442708,"[-0.58, 0.30]",0.47265157013141057,0.9413399766352809,False
Immunoglobulin heavy variable 1-46,Leuk,time1,20,17,0.035140624925858746,"[-0.43, 0.48]",0.8864331942775516,0.9964590333111646,False
Fibulin-1,Leuk,time1,20,17,0.49178994080400934,"[0.05, 0.77]",0.03246336347359056,0.780717100347183,False
Secreted phosphoprotein 24,Leuk,time1,20,17,-0.23727609389842885,"[-0.62, 0.24]",0.32801930376025956,0.9236478900056884,False
