Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Leuk,20,39,-0.3499999999999992,"[-0.59, -0.05]",0.024879547038877146,0.45322368856435696,False
Apolipoprotein A-IV,Leuk,20,39,0.3000000000000004,"[-0.01, 0.56]",0.05669100677848799,0.5955651164529556,False
Coagulation factor XII,Leuk,20,39,0.19999999999999965,"[-0.11, 0.48]",0.2099387425744199,0.8205034779432058,False
Mannan-binding lectin serine protease 1,Leuk,20,39,0.14999999999999963,"[-0.17, 0.44]",0.34923374105217975,0.860788962265991,False
Complement factor I,Leuk,20,39,0.20000000000000098,"[-0.11, 0.48]",0.20993874257441536,0.8205034779432058,False
Platelet glycoprotein Ib alpha chain,Leuk,20,39,-0.24999999999999925,"[-0.52, 0.06]",0.11492787448834198,0.7242274493625929,False
Hepatocyte growth factor-like protein,Leuk,20,39,0.2750000000000009,"[-0.04, 0.54]",0.0818360928959459,0.6837273567758237,False
Profilin-1,Leuk,20,39,0.20000000000000007,"[-0.11, 0.48]",0.20993874257441825,0.8205034779432058,False
Peptidase inhibitor 16,Leuk,20,39,-0.10000000000000005,"[-0.40, 0.21]",0.5338939001152971,0.9307504209261677,False
Cell surface glycoprotein MUC18,Leuk,20,39,-0.07499999999999991,"[-0.37, 0.24]",0.6411866947841538,0.9307504209261677,False
Adhesion G-protein coupled receptor G6,Leuk,20,39,0.04999999999999981,"[-0.26, 0.35]",0.7562191489680836,0.9507803863239565,False
Immunoglobulin heavy variable 1-69,Leuk,20,39,0.050000000000000835,"[-0.26, 0.35]",0.7562191489680732,0.9507803863239565,False
Insulin-like growth factor-binding protein complex acid labile subunit,Leuk,20,39,-0.17499999999999938,"[-0.46, 0.14]",0.2737947926383973,0.8448096775145966,False
Plasma serine protease inhibitor,Leuk,20,39,0.10000000000000031,"[-0.21, 0.40]",0.5338939001152925,0.9307504209261677,False
Immunoglobulin heavy variable 1-69D,Leuk,20,39,0.14999999999999966,"[-0.17, 0.44]",0.34923374105217864,0.860788962265991,False
Pancreatic adenocarcinoma up-regulated factor,Leuk,20,39,-0.17499999999999916,"[-0.46, 0.14]",0.2737947926383973,0.8448096775145966,False
Immunoglobulin heavy variable 3-64D,Leuk,20,39,0.2999999999999993,"[-0.01, 0.56]",0.056691006778488796,0.5955651164529556,False
Neutrophil gelatinase-associated lipocalin,Leuk,20,39,0.024999999999999724,"[-0.28, 0.33]",0.8767016791266298,0.9710047873747903,False
Lysosome-associated membrane glycoprotein 2,Leuk,20,39,0.2500000000000005,"[-0.06, 0.52]",0.11492787448833999,0.7242274493625929,False
Corneodesmosin,Leuk,20,39,0.15000000000000002,"[-0.17, 0.44]",0.34923374105217864,0.860788962265991,False
Collagen alpha-1(XVIII) chain,Leuk,20,39,0.20000000000000087,"[-0.11, 0.48]",0.20993874257441536,0.8205034779432058,False
Lipopolysaccharide-binding protein,Leuk,20,39,0.27499999999999947,"[-0.04, 0.54]",0.08183609289594752,0.6837273567758237,False
Immunoglobulin heavy variable 3-49,Leuk,20,39,0.24999999999999992,"[-0.06, 0.52]",0.11492787448834065,0.7242274493625929,False
SPARC-like protein 1,Leuk,20,39,0.07499999999999989,"[-0.24, 0.37]",0.6411866947841538,0.9307504209261677,False
Ras-associated and pleckstrin homology domains-containing protein 1,Leuk,20,39,0.07500000000000039,"[-0.24, 0.37]",0.6411866947841472,0.9307504209261677,False
Alpha-1-acid glycoprotein 2,Leuk,20,39,0.1250000000000005,"[-0.19, 0.42]",0.4361566470231041,0.8960937411657979,False
Immunoglobulin heavy variable 3-20,Leuk,20,39,0.04999999999999984,"[-0.26, 0.35]",0.7562191489680836,0.9507803863239565,False
Neurogenic locus notch homolog protein 2,Leuk,20,39,0.2499999999999998,"[-0.06, 0.52]",0.11492787448834102,0.7242274493625929,False
Apolipoprotein B-100,Leuk,20,39,-0.07499999999999929,"[-0.37, 0.24]",0.6411866947841538,0.9307504209261677,False
CD44 antigen,Leuk,20,39,0.04999999999999971,"[-0.26, 0.35]",0.7562191489680836,0.9507803863239565,False
Pigment epithelium-derived factor,Leuk,20,39,0.20000000000000073,"[-0.11, 0.48]",0.20993874257441536,0.8205034779432058,False
Xaa-Pro dipeptidase,Leuk,20,39,0.07500000000000037,"[-0.24, 0.37]",0.6411866947841472,0.9307504209261677,False
Immunoglobulin heavy constant delta,Leuk,20,39,-0.17499999999999916,"[-0.46, 0.14]",0.2737947926383973,0.8448096775145966,False
Probable non-functional immunoglobulin heavy variable 3-38-3,Leuk,20,39,0.07500000000000069,"[-0.24, 0.37]",0.6411866947841472,0.9307504209261677,False
Immunoglobulin lambda constant 7,Leuk,20,39,-1.3877787807814454e-16,"[-0.31, 0.31]",1.0,1.0,False
Receptor-type tyrosine-protein phosphatase gamma,Leuk,20,39,0.050000000000000544,"[-0.26, 0.35]",0.7562191489680836,0.9507803863239565,False
Afamin,Leuk,20,39,0.02499999999999981,"[-0.28, 0.33]",0.8767016791266298,0.9710047873747903,False
Pyruvate kinase PKLR,Leuk,20,39,0.10000000000000063,"[-0.21, 0.40]",0.5338939001152925,0.9307504209261677,False
Insulin-like growth factor 2,Leuk,20,39,0.1499999999999999,"[-0.17, 0.44]",0.34923374105217864,0.860788962265991,False
CD109 antigen,Leuk,20,39,-0.09999999999999945,"[-0.40, 0.21]",0.5338939001152971,0.9307504209261677,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Leuk,20,39,0.2749999999999996,"[-0.04, 0.54]",0.0818360928959473,0.6837273567758237,False
Dedicator of cytokinesis protein 4,Leuk,20,39,0.12500000000000006,"[-0.19, 0.42]",0.4361566470231073,0.8960937411657979,False
Complement factor H-related protein 2,Leuk,20,39,-0.07499999999999968,"[-0.37, 0.24]",0.6411866947841538,0.9307504209261677,False
Selenoprotein P,Leuk,20,39,0.15000000000000044,"[-0.17, 0.44]",0.3492337410521762,0.860788962265991,False
Adipocyte plasma membrane-associated protein,Leuk,20,39,0.2749999999999999,"[-0.04, 0.54]",0.08183609289594682,0.6837273567758237,False
Immunoglobulin heavy constant alpha 2,Leuk,20,39,-0.1500000000000002,"[-0.44, 0.17]",0.34923374105217864,0.860788962265991,False
Lactotransferrin,Leuk,20,39,9.714451465470117e-17,"[-0.31, 0.31]",1.0,1.0,False
Alpha-enolase,Leuk,20,39,-0.0999999999999999,"[-0.40, 0.21]",0.5338939001152971,0.9307504209261677,False
Immunoglobulin heavy constant gamma 1,Leuk,20,39,0.22499999999999992,"[-0.09, 0.50]",0.15725665075562228,0.7607516423767026,False
Collectin-10,Leuk,20,39,0.07499999999999961,"[-0.24, 0.37]",0.6411866947841538,0.9307504209261677,False
Lysosome-associated membrane glycoprotein 1,Leuk,20,39,-0.3999999999999999,"[-0.63, -0.11]",0.009563548476957966,0.3066711211611223,False
Cathelicidin antimicrobial peptide,Leuk,20,39,0.1250000000000007,"[-0.19, 0.42]",0.4361566470231041,0.8960937411657979,False
Fibroblast growth factor-binding protein 2,Leuk,20,39,0.050000000000000745,"[-0.26, 0.35]",0.7562191489680732,0.9507803863239565,False
Lymphatic vessel endothelial hyaluronic acid receptor 1,Leuk,20,39,0.024999999999999942,"[-0.28, 0.33]",0.8767016791266298,0.9710047873747903,False
Haptoglobin,Leuk,20,39,3.6082248300317597e-16,"[-0.31, 0.31]",1.0,1.0,False
Tenascin-X,Leuk,20,39,-0.04999999999999945,"[-0.35, 0.26]",0.7562191489680836,0.9507803863239565,False
Zinc finger protein 512B,Leuk,20,39,-0.1250000000000003,"[-0.42, 0.19]",0.4361566470231073,0.8960937411657979,False
Immunoglobulin lambda variable 3-19,Leuk,20,39,-0.07499999999999948,"[-0.37, 0.24]",0.6411866947841538,0.9307504209261677,False
Complement C1q subcomponent subunit B,Leuk,20,39,-0.17499999999999916,"[-0.46, 0.14]",0.2737947926383973,0.8448096775145966,False
Ubiquitin-ribosomal protein eS31 fusion protein,Leuk,20,39,-6.106226635438359e-16,"[-0.31, 0.31]",1.0,1.0,False
Kinesin-like protein KIF21A,Leuk,20,39,-0.37499999999999994,"[-0.61, -0.08]",0.015700418653338422,0.36734819848780037,False
Attractin,Leuk,20,39,0.3250000000000007,"[0.02, 0.58]",0.038142837064594835,0.5407449785115541,False
Immunoglobulin lambda variable 1-44,Leuk,20,39,-0.12499999999999932,"[-0.42, 0.19]",0.43615664702310897,0.8960937411657979,False
Immunoglobulin heavy variable 1-46,Leuk,20,39,0.22500000000000034,"[-0.09, 0.50]",0.15725665075562173,0.7607516423767026,False
Fibulin-1,Leuk,20,39,0.2999999999999999,"[-0.01, 0.56]",0.056691006778488304,0.5955651164529556,False
