Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Leuk,delta_time2_vs_time1,20,17,-0.029188889278074535,"[-0.48, 0.43]",0.9055776967678532,0.9948207067171557,False
Apolipoprotein A-IV,Leuk,delta_time2_vs_time1,20,17,0.10582431101532257,"[-0.37, 0.53]",0.6663403435960646,0.9932510442843305,False
Coagulation factor XII,Leuk,delta_time2_vs_time1,20,17,0.24551839002247394,"[-0.23, 0.63]",0.3109873354023587,0.9910959233646371,False
Mannan-binding lectin serine protease 1,Leuk,delta_time2_vs_time1,20,17,0.11074192768329205,"[-0.36, 0.54]",0.6517483926750948,0.9932510442843305,False
Complement factor I,Leuk,delta_time2_vs_time1,20,17,0.20401805532383502,"[-0.28, 0.60]",0.40215111687378846,0.9910959233646371,False
Platelet glycoprotein Ib alpha chain,Leuk,delta_time2_vs_time1,20,17,0.07496417601635313,"[-0.39, 0.51]",0.760360783042286,0.9932510442843305,False
Hepatocyte growth factor-like protein,Leuk,delta_time2_vs_time1,20,17,0.010732050839948066,"[-0.45, 0.46]",0.9652192304887536,0.9987956535135862,False
Profilin-1,Leuk,delta_time2_vs_time1,20,17,-0.10692238336961045,"[-0.54, 0.37]",0.6630718636872974,0.9932510442843305,False
Peptidase inhibitor 16,Leuk,delta_time2_vs_time1,20,17,-0.12744959903669914,"[-0.55, 0.35]",0.6030959581569537,0.9932510442843305,False
Cell surface glycoprotein MUC18,Leuk,delta_time2_vs_time1,20,17,-0.16467596795088937,"[-0.58, 0.31]",0.5005037347743437,0.9910959233646371,False
Adhesion G-protein coupled receptor G6,Leuk,delta_time2_vs_time1,20,17,-0.05217571215847658,"[-0.49, 0.41]",0.8320036582116243,0.9932510442843305,False
Immunoglobulin heavy variable 1-69,Leuk,delta_time2_vs_time1,20,17,0.204337073184549,"[-0.28, 0.60]",0.4013996725349658,0.9910959233646371,False
Insulin-like growth factor-binding protein complex acid labile subunit,Leuk,delta_time2_vs_time1,20,17,0.0838672117051943,"[-0.39, 0.52]",0.7328380239679968,0.9932510442843305,False
Plasma serine protease inhibitor,Leuk,delta_time2_vs_time1,20,17,0.38059317706497126,"[-0.09, 0.71]",0.10794060357195483,0.9910959233646371,False
Immunoglobulin heavy variable 1-69D,Leuk,delta_time2_vs_time1,20,17,0.19259599257850538,"[-0.29, 0.59]",0.429556140420444,0.9910959233646371,False
Pancreatic adenocarcinoma up-regulated factor,Leuk,delta_time2_vs_time1,20,17,-0.053015172435924206,"[-0.50, 0.41]",0.829338281284903,0.9932510442843305,False
Immunoglobulin heavy variable 3-64D,Leuk,delta_time2_vs_time1,20,17,0.060280005276664335,"[-0.41, 0.50]",0.806349055866763,0.9932510442843305,False
Neutrophil gelatinase-associated lipocalin,Leuk,delta_time2_vs_time1,20,17,0.10272672878533666,"[-0.37, 0.53]",0.6755913984478015,0.9932510442843305,False
Lysosome-associated membrane glycoprotein 2,Leuk,delta_time2_vs_time1,20,17,-0.1720888771309275,"[-0.58, 0.31]",0.4811361386419247,0.9910959233646371,False
Corneodesmosin,Leuk,delta_time2_vs_time1,20,17,-0.17758840068819257,"[-0.58, 0.30]",0.46701141809933255,0.9910959233646371,False
Collagen alpha-1(XVIII) chain,Leuk,delta_time2_vs_time1,20,17,-0.022717278124226938,"[-0.47, 0.44]",0.9264508457326686,0.9967351398813868,False
Lipopolysaccharide-binding protein,Leuk,delta_time2_vs_time1,20,17,-0.11454183341864257,"[-0.54, 0.36]",0.6405550834300036,0.9932510442843305,False
