Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Leuk,VCAM-1,time1,20,17,-0.42389370946843713,"[-0.74, 0.04]",0.07050393846921477,0.9057854731763048,False
Eryt,VCAM-1,time1,20,17,0.2263081013692665,"[-0.25, 0.62]",0.351516767880672,0.9320303772326995,False
Hb,VCAM-1,time1,20,17,0.17682146913243527,"[-0.30, 0.58]",0.4689685322663697,0.9320303772326995,False
HKR,VCAM-1,time1,20,17,0.04663517810289439,"[-0.42, 0.49]",0.8496382258154617,0.962896375916522,False
MCV,VCAM-1,time1,20,17,-0.1518266692548788,"[-0.57, 0.32]",0.5349402879631944,0.9320303772326995,False
MCH,VCAM-1,time1,20,17,0.2580299165101157,"[-0.22, 0.64]",0.2861687798406604,0.9320303772326995,False
Trom,VCAM-1,time1,20,17,-0.209080704955244,"[-0.61, 0.27]",0.39031678193164654,0.9320303772326995,False
Neutr,VCAM-1,time1,20,17,-0.5189640485670792,"[-0.79, -0.08]",0.022796991000522487,0.8353489929906648,False
Lymfos,VCAM-1,time1,20,17,0.19899643129781558,"[-0.28, 0.60]",0.4140800827928579,0.9320303772326995,False
Monos,VCAM-1,time1,20,17,-0.28658188065558005,"[-0.66, 0.19]",0.23423137553099074,0.9320303772326995,False
Eosin,VCAM-1,time1,20,17,0.1668574838370025,"[-0.31, 0.58]",0.4947654410979647,0.9320303772326995,False
Basof,VCAM-1,time1,20,17,-0.386657101865136,"[-0.72, 0.08]",0.10198363820339085,0.9057854731763048,False
Lactic acid,VCAM-1,time1,20,17,-0.15840309601464678,"[-0.57, 0.32]",0.5171806291918244,0.9320303772326995,False
Leuk,MIP-1α,time1,20,17,-0.1806670338918007,"[-0.59, 0.30]",0.4591967373098087,0.9320303772326995,False
Eryt,MIP-1α,time1,20,17,-0.29408317296879766,"[-0.66, 0.18]",0.22166832903589395,0.9320303772326995,False
Hb,MIP-1α,time1,20,17,0.027181537577747876,"[-0.43, 0.48]",0.9120463715678924,0.9737129747562666,False
HKR,MIP-1α,time1,20,17,-0.16845669291224177,"[-0.58, 0.31]",0.4905792567692847,0.9320303772326995,False
MCV,MIP-1α,time1,20,17,0.24354468374101257,"[-0.24, 0.63]",0.3150166453732719,0.9320303772326995,False
MCH,MIP-1α,time1,20,17,0.5083701800371994,"[0.07, 0.78]",0.026250158043686515,0.8353489929906648,False
Trom,MIP-1α,time1,20,17,-0.0900363291650656,"[-0.52, 0.38]",0.7139461467152247,0.9434233436262147,False
Neutr,MIP-1α,time1,20,17,-0.07314835880122107,"[-0.51, 0.39]",0.7660093726974511,0.9434233436262147,False
Lymfos,MIP-1α,time1,20,17,-0.3137646113693235,"[-0.67, 0.16]",0.19082274375706892,0.9320303772326995,False
Monos,MIP-1α,time1,20,17,-0.2620696162170443,"[-0.64, 0.22]",0.27842314726626227,0.9320303772326995,False
