Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Leuk,VCAM-1,20,39,0.2749999999999999,"[-0.04, 0.54]",0.08183609289594682,0.18176659829150152,False
Eryt,VCAM-1,20,39,0.5408912008336246,"[0.28, 0.73]",0.000261022348478636,0.0016512023155255703,True
Hb,VCAM-1,20,39,0.4937104414532874,"[0.22, 0.70]",0.0010369438240977003,0.00503658428847456,True
HKR,VCAM-1,20,39,0.55184144960962,"[0.29, 0.73]",0.0001839270759346258,0.0012904090089381683,True
MCV,VCAM-1,20,39,0.21408720964441938,"[-0.10, 0.49]",0.1789232023199724,0.31348119151453324,False
MCH,VCAM-1,20,39,-2.633125101432524e-17,"[-0.31, 0.31]",1.0,1.0,False
Trom,VCAM-1,20,39,0.55,"[0.29, 0.73]",0.0001952453018314683,0.0013484128657735778,True
Neutr,VCAM-1,20,39,0.050000000000000475,"[-0.26, 0.35]",0.7562191489680836,0.8377164507365739,False
Lymfos,VCAM-1,20,39,0.5031546054266275,"[0.23, 0.70]",0.0007992199511305953,0.004107618818601432,True
Monos,VCAM-1,20,39,0.4151025494769678,"[0.12, 0.64]",0.006960641563849492,0.02542647579521888,True
Eosin,VCAM-1,20,39,0.44741906925097824,"[0.16, 0.66]",0.0033566942039766796,0.014265950366900931,True
Basof,VCAM-1,20,39,0.4992301766027062,"[0.23, 0.70]",0.0008913597859769785,0.0044267530944025225,True
Lactic acid,VCAM-1,20,39,0.5316881677189249,"[0.27, 0.72]",0.00034711808151307737,0.0021309193337330644,True
Leuk,MIP-1α,20,39,0.2250000000000001,"[-0.09, 0.50]",0.15725665075562228,0.2908261072551693,False
Eryt,MIP-1α,20,39,0.2389984375776481,"[-0.07, 0.51]",0.13234575356789427,0.26107281524773374,False
Hb,MIP-1α,20,39,0.2531848417709166,"[-0.06, 0.52]",0.11022452915533222,0.22817886821932612,False
HKR,MIP-1α,20,39,0.2691909510290833,"[-0.04, 0.53]",0.08876762105830656,0.1904625655717063,False
MCV,MIP-1α,20,39,0.21408720964441932,"[-0.10, 0.49]",0.1789232023199724,0.31348119151453324,False
MCH,MIP-1α,20,39,0.23717082451262844,"[-0.08, 0.51]",0.1354199479964372,0.26137824023766476,False
Trom,MIP-1α,20,39,0.32500000000000007,"[0.02, 0.58]",0.03814283706459527,0.09975818924586456,False
Neutr,MIP-1α,20,39,0.1750000000000004,"[-0.14, 0.46]",0.27379479263839523,0.4216630604396233,False
Lymfos,MIP-1α,20,39,0.44026027974829923,"[0.15, 0.66]",0.003969260979337087,0.01609553534740374,True
Monos,MIP-1α,20,39,0.36478708893430517,"[0.06, 0.60]",0.01902754958724676,0.057603951490158144,False
Eosin,MIP-1α,20,39,0.24404676504598818,"[-0.07, 0.51]",0.12412414138449429,0.24937668405430216,False
Basof,MIP-1α,20,39,0.34668762264076824,"[0.04, 0.59]",0.026377558844256722,0.07473641672539404,False
Lactic acid,MIP-1α,20,39,0.27850332594800814,"[-0.03, 0.54]",0.07786442509379014,0.1783216367432914,False
Leuk,VEGF1,20,39,-0.12500000000000008,"[-0.42, 0.19]",0.4361566470231073,0.5679296819010217,False
Eryt,VEGF1,20,39,-0.11320978622099177,"[-0.41, 0.20]",0.4809662304085821,0.6161944169292608,False
Hb,VEGF1,20,39,-0.17722938923964202,"[-0.46, 0.14]",0.2676326881599689,0.4216630604396233,False
HKR,VEGF1,20,39,-0.22881230837472002,"[-0.50, 0.08]",0.15015773759709816,0.2860763793875749,False
MCV,VEGF1,20,39,-0.2140872096444185,"[-0.49, 0.10]",0.17892320231997358,0.31348119151453324,False
MCH,VEGF1,20,39,-0.2371708245126286,"[-0.51, 0.08]",0.13541994799643634,0.26137824023766476,False
Trom,VEGF1,20,39,-0.2750000000000001,"[-0.54, 0.04]",0.08183609289594682,0.18176659829150152,False
Neutr,VEGF1,20,39,-0.024999999999999533,"[-0.33, 0.28]",0.8767016791266298,0.9226241480332628,False
Lymfos,VEGF1,20,39,-0.3018927632559768,"[-0.56, 0.01]",0.05507279832571062,0.13675380258406866,False
Monos,VEGF1,20,39,-0.21384070730631688,"[-0.49, 0.10]",0.17943606663614683,0.31348119151453324,False
Eosin,VEGF1,20,39,-0.20337230420499053,"[-0.48, 0.11]",0.202194719754107,0.35047084757378644,False
Basof,VEGF1,20,39,-0.055470019622523126,"[-0.36, 0.26]",0.7304983348043069,0.8377164507365739,False
Lactic acid,VEGF1,20,39,-0.3291402943021923,"[-0.58, -0.02]",0.03561505890517238,0.09483045804871384,False
Leuk,MDC,20,39,0.6749999999999999,"[0.46, 0.81]",1.2955472877160705e-06,2.8631595058525157e-05,True
Eryt,MDC,20,39,0.6666798521902815,"[0.45, 0.81]",1.9463842157812703e-06,3.9104628335241886e-05,True
Hb,MDC,20,39,0.6835990727814748,"[0.48, 0.82]",8.389705024689213e-07,2.0601386782847956e-05,True
HKR,MDC,20,39,0.632598734918345,"[0.40, 0.79]",9.103279287692227e-06,0.00011176804014333235,True
MCV,MDC,20,39,0.17516226243634325,"[-0.14, 0.46]",0.27334317604088565,0.4216630604396233,False
MCH,MDC,20,39,0.2371708245126286,"[-0.08, 0.51]",0.13541994799643634,0.26137824023766476,False
Trom,MDC,20,39,0.65,"[0.43, 0.80]",4.24125401871099e-06,6.248780920900886e-05,True
Neutr,MDC,20,39,0.3500000000000003,"[0.05, 0.59]",0.02487954703887659,0.07094683736247448,False
Lymfos,MDC,20,39,0.7169953127329443,"[0.53, 0.84]",1.3383346854289858e-07,4.225313792568656e-06,True
Monos,MDC,20,39,0.7924685035469385,"[0.64, 0.88]",6.668256296308666e-10,7.368423207421075e-08,True
Eosin,MDC,20,39,0.5965587590013043,"[0.35, 0.76]",3.848636092063703e-05,0.0003780215894871459,True
Basof,MDC,20,39,0.6517727305646442,"[0.43, 0.80]",3.913101630660038e-06,6.248780920900886e-05,True
Lactic acid,MDC,20,39,0.41775498892201235,"[0.13, 0.64]",0.0065731968940784535,0.02483207715540749,True
Leuk,SAA,20,39,0.42499999999999993,"[0.14, 0.65]",0.005608377882559744,0.021555678470360058,True
Eryt,SAA,20,39,0.5786277962406217,"[0.33, 0.75]",7.406664208709988e-05,0.0006176878453301538,True
Hb,SAA,20,39,0.49371044145328724,"[0.22, 0.70]",0.0010369438240977035,0.00503658428847456,True
HKR,SAA,20,39,0.5922200922639824,"[0.35, 0.76]",4.525367058961102e-05,0.00043263436803054,True
MCV,SAA,20,39,0.2724746304565336,"[-0.04, 0.54]",0.08479569816114299,0.1846290570799298,False
MCH,SAA,20,39,0.07905694150420958,"[-0.23, 0.38]",0.6231952830196226,0.7505512672879378,False
Trom,SAA,20,39,0.625,"[0.39, 0.78]",1.252417408936722e-05,0.00014194063967949515,True
Neutr,SAA,20,39,0.050000000000000544,"[-0.26, 0.35]",0.7562191489680836,0.8377164507365739,False
Lymfos,SAA,20,39,0.5786277962406217,"[0.33, 0.75]",7.406664208709988e-05,0.0006176878453301538,True
Monos,SAA,20,39,0.566048931104956,"[0.31, 0.74]",0.0001146465027575633,0.0008736854175662639,True
Eosin,SAA,20,39,0.44741906925097813,"[0.16, 0.66]",0.0033566942039766896,0.014265950366900931,True
Basof,SAA,20,39,0.5408326913195984,"[0.28, 0.73]",0.00026150262915563156,0.0016512023155255703,True
Lactic acid,SAA,20,39,0.5316881677189248,"[0.27, 0.72]",0.0003471180815130784,0.0021309193337330644,True
Leuk,IL-8,20,39,-0.12499999999999993,"[-0.42, 0.19]",0.4361566470231073,0.5679296819010217,False
Eryt,IL-8,20,39,0.05031546054266252,"[-0.26, 0.35]",0.7547284319821241,0.8377164507365739,False
Hb,IL-8,20,39,-0.025318484177091954,"[-0.33, 0.28]",0.8751432422724365,0.9226241480332628,False
HKR,IL-8,20,39,-0.013459547551453562,"[-0.32, 0.30]",0.9334367972281469,0.9707265655490906,False
MCV,IL-8,20,39,0.29193710406057155,"[-0.02, 0.55]",0.06401491703617507,0.15224606426044085,False
MCH,IL-8,20,39,-7.899375304297573e-17,"[-0.31, 0.31]",1.0,1.0,False
Trom,IL-8,20,39,-0.049999999999999954,"[-0.35, 0.26]",0.7562191489680836,0.8377164507365739,False
Neutr,IL-8,20,39,-0.27499999999999947,"[-0.54, 0.04]",0.08183609289594752,0.18176659829150152,False
Lymfos,IL-8,20,39,0.037736595406996844,"[-0.27, 0.34]",0.8147964162115997,0.8892346073222891,False
Monos,IL-8,20,39,0.05031546054266263,"[-0.26, 0.35]",0.7547284319821241,0.8377164507365739,False
Eosin,IL-8,20,39,0.09490707529566175,"[-0.22, 0.39]",0.5550275735409729,0.6888307498366872,False
Basof,IL-8,20,39,0.12480754415067667,"[-0.19, 0.42]",0.4368689860777073,0.5679296819010217,False
Lactic acid,IL-8,20,39,0.05063696835418273,"[-0.26, 0.35]",0.7532100413323757,0.8377164507365739,False
Leuk,IL-16,20,39,0.7,"[0.50, 0.83]",3.5133020450177994e-07,9.70549689936167e-06,True
Eryt,IL-16,20,39,0.7421530430042756,"[0.56, 0.85]",2.8028986230452963e-08,1.548601489232526e-06,True
Hb,IL-16,20,39,0.7342360411356582,"[0.55, 0.85]",4.6711646936131656e-08,1.87695890416094e-06,True
HKR,IL-16,20,39,0.7941133055357943,"[0.64, 0.89]",5.801735666221289e-10,7.368423207421075e-08,True
MCV,IL-16,20,39,0.15569978883230512,"[-0.16, 0.44]",0.33101128797057067,0.48127299106247445,False
MCH,IL-16,20,39,6.582812753581311e-17,"[-0.31, 0.31]",1.0,1.0,False
Trom,IL-16,20,39,0.7499999999999999,"[0.58, 0.86]",1.658583359431249e-08,1.1326972811499604e-06,True
Neutr,IL-16,20,39,0.17500000000000046,"[-0.14, 0.46]",0.27379479263839546,0.4216630604396233,False
Lymfos,IL-16,20,39,0.8427839640896012,"[0.72, 0.91]",4.809769023530851e-12,2.125917908400636e-09,True
Monos,IL-16,20,39,0.8302050989539356,"[0.70, 0.91]",1.9145073019179933e-11,4.231061137238765e-09,True
Eosin,IL-16,20,39,0.7321402951379645,"[0.55, 0.85]",5.3314315687270524e-08,1.9637439611477976e-06,True
Basof,IL-16,20,39,0.7488452649040594,"[0.57, 0.86]",1.7938644724094395e-08,1.1326972811499604e-06,True
Lactic acid,IL-16,20,39,0.6329621044272915,"[0.40, 0.79]",8.963535547308725e-06,0.00011176804014333235,True
Leuk,TNF-α,20,39,0.37499999999999994,"[0.08, 0.61]",0.015700418653338422,0.04992507226457254,True
Eryt,TNF-α,20,39,0.5283123356979588,"[0.26, 0.72]",0.0003845983647945625,0.002297195638367522,True
