Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Leuk,VCAM-1,delta_time2_vs_time1,20,17,0.525973458243508,"[0.09, 0.79]",0.020716525577103257,0.43245691574547934,False
Eryt,VCAM-1,delta_time2_vs_time1,20,17,-0.09191171534475444,"[-0.52, 0.38]",0.7082339699341678,0.9344460140623945,False
Hb,VCAM-1,delta_time2_vs_time1,20,17,0.15446488373056538,"[-0.32, 0.57]",0.5277823685614104,0.930223592129741,False
HKR,VCAM-1,delta_time2_vs_time1,20,17,-0.015798168651780353,"[-0.47, 0.44]",0.9488179921060177,0.9893426012106461,False
MCV,VCAM-1,delta_time2_vs_time1,20,17,0.0408224762108863,"[-0.42, 0.49]",0.8682126845354712,0.9641315701625187,False
MCH,VCAM-1,delta_time2_vs_time1,20,17,0.44905733984983043,"[-0.01, 0.75]",0.05377092025605932,0.4850356480240453,False
Trom,VCAM-1,delta_time2_vs_time1,20,17,0.5527291303973552,"[0.13, 0.80]",0.014114309035998088,0.40361663454900226,False
Neutr,VCAM-1,delta_time2_vs_time1,20,17,0.5811865295114483,"[0.17, 0.82]",0.009061296854349435,0.40361663454900226,False
Lymfos,VCAM-1,delta_time2_vs_time1,20,17,-0.011191314743864027,"[-0.46, 0.45]",0.9637317463006361,0.9916779287979511,False
Monos,VCAM-1,delta_time2_vs_time1,20,17,0.4922236120017693,"[0.05, 0.77]",0.03228750728416475,0.43245691574547934,False
Eosin,VCAM-1,delta_time2_vs_time1,20,17,0.037470831353611046,"[-0.42, 0.48]",0.8789535959778988,0.9641315701625187,False
Basof,VCAM-1,delta_time2_vs_time1,20,17,0.5752954390460565,"[0.16, 0.82]",0.009963570235025553,0.40361663454900226,False
Lactic acid,VCAM-1,delta_time2_vs_time1,20,17,0.14662070463782548,"[-0.33, 0.56]",0.5491939715204239,0.930223592129741,False
Leuk,MIP-1α,delta_time2_vs_time1,20,17,0.29227961101081135,"[-0.19, 0.66]",0.22464800094598725,0.7522304274100482,False
Eryt,MIP-1α,delta_time2_vs_time1,20,17,0.0017067779139803055,"[-0.45, 0.46]",0.994467067675463,0.9986511943179401,False
Hb,MIP-1α,delta_time2_vs_time1,20,17,-0.03977227339534967,"[-0.49, 0.42]",0.8715759471628126,0.9641315701625187,False
HKR,MIP-1α,delta_time2_vs_time1,20,17,0.03232788915179839,"[-0.43, 0.48]",0.8954738412541445,0.967724786881007,False
MCV,MIP-1α,delta_time2_vs_time1,20,17,0.22783977355527796,"[-0.25, 0.62]",0.34817856857091645,0.8520575874100839,False
MCH,MIP-1α,delta_time2_vs_time1,20,17,-0.12767742779027091,"[-0.55, 0.35]",0.6024429008591954,0.930223592129741,False
Trom,MIP-1α,delta_time2_vs_time1,20,17,0.5240504664510419,"[0.09, 0.79]",0.02127170559412814,0.43245691574547934,False
Neutr,MIP-1α,delta_time2_vs_time1,20,17,0.09851575638033053,"[-0.37, 0.53]",0.6882391567868027,0.930223592129741,False
Lymfos,MIP-1α,delta_time2_vs_time1,20,17,0.31625082056912424,"[-0.16, 0.67]",0.18714209109895996,0.6836099526094239,False
Monos,MIP-1α,delta_time2_vs_time1,20,17,0.4644534808651034,"[0.01, 0.76]",0.045136046057052154,0.47088992251910067,False
