Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Concentration/ml,time1,20,17,0.05735524272388033,"[-0.41, 0.50]",0.8155871419261143,0.8838371119617723,False
Apolipoprotein A-IV,Concentration/ml,time1,20,17,-0.7766209893152455,"[-0.91, -0.50]",9.215469375372481e-05,0.003672010104956112,True
Coagulation factor XII,Concentration/ml,time1,20,17,0.38849606523659713,"[-0.08, 0.72]",0.10022501980095089,0.2608872374718219,False
Mannan-binding lectin serine protease 1,Concentration/ml,time1,20,17,-0.6383724179607048,"[-0.85, -0.26]",0.0032669894072751976,0.0328523495766986,True
Complement factor I,Concentration/ml,time1,20,17,-0.39408128598788544,"[-0.72, 0.07]",0.09501846929436425,0.25370910873443653,False
Platelet glycoprotein Ib alpha chain,Concentration/ml,time1,20,17,0.3266449103449788,"[-0.15, 0.68]",0.17227131387690106,0.3801368189382509,False
Hepatocyte growth factor-like protein,Concentration/ml,time1,20,17,0.32580146719756187,"[-0.15, 0.68]",0.17344711134228297,0.38070171048857027,False
Profilin-1,Concentration/ml,time1,20,17,-0.30792672073917365,"[-0.67, 0.17]",0.1996545974530419,0.4071696121286445,False
Peptidase inhibitor 16,Concentration/ml,time1,20,17,-0.5753112716677997,"[-0.82, -0.16]",0.009961051647474505,0.06531423738470625,False
Cell surface glycoprotein MUC18,Concentration/ml,time1,20,17,0.11543665685853195,"[-0.36, 0.54]",0.6379298805198911,0.7728204047830118,False
Adhesion G-protein coupled receptor G6,Concentration/ml,time1,20,17,-0.3548979737682252,"[-0.70, 0.12]",0.13596759211494708,0.32607042923862306,False
Immunoglobulin heavy variable 1-69,Concentration/ml,time1,20,17,0.42415396337111644,"[-0.04, 0.74]",0.07031313244966644,0.21878070088742477,False
Insulin-like growth factor-binding protein complex acid labile subunit,Concentration/ml,time1,20,17,0.4661654135338346,"[0.02, 0.76]",0.04424580058834794,0.17103973660271818,False
Plasma serine protease inhibitor,Concentration/ml,time1,20,17,0.43721352557433574,"[-0.02, 0.74]",0.06122340783073538,0.2059332808852008,False
Immunoglobulin heavy variable 1-69D,Concentration/ml,time1,20,17,0.26567981997592005,"[-0.21, 0.64]",0.2716118267186241,0.47855417088519486,False
Pancreatic adenocarcinoma up-regulated factor,Concentration/ml,time1,20,17,-0.49127256452643775,"[-0.77, -0.05]",0.032674135507382,0.14659988324704185,False
Immunoglobulin heavy variable 3-64D,Concentration/ml,time1,20,17,-0.08180804095402869,"[-0.52, 0.39]",0.7391773716474546,0.8269846188193984,False
Neutrophil gelatinase-associated lipocalin,Concentration/ml,time1,20,17,0.07871832752231125,"[-0.39, 0.51]",0.7487195145840406,0.834057437751684,False
Lysosome-associated membrane glycoprotein 2,Concentration/ml,time1,20,17,1.6411984233397555e-17,"[-0.45, 0.45]",1.0,1.0,False
Corneodesmosin,Concentration/ml,time1,20,17,-0.1494350262410698,"[-0.57, 0.33]",0.5414673911913304,0.7047238910480129,False
Collagen alpha-1(XVIII) chain,Concentration/ml,time1,20,17,-0.30030167484341797,"[-0.66, 0.18]",0.2115925984115909,0.41674892006541475,False
Lipopolysaccharide-binding protein,Concentration/ml,time1,20,17,0.5132112012319563,"[0.08, 0.78]",0.024624639318565823,0.12148155397159138,False
Immunoglobulin heavy variable 3-49,Concentration/ml,time1,20,17,0.13777680939617198,"[-0.34, 0.56]",0.5737903914941495,0.7267076351930792,False
SPARC-like protein 1,Concentration/ml,time1,20,17,0.11026703711316853,"[-0.36, 0.54]",0.6531523554689416,0.7831780558632216,False
Ras-associated and pleckstrin homology domains-containing protein 1,Concentration/ml,time1,20,17,-0.7151602763271823,"[-0.88, -0.39]",0.0005778741087497472,0.014143643802917466,True
Alpha-1-acid glycoprotein 2,Concentration/ml,time1,20,17,-0.35833612154237254,"[-0.70, 0.11]",0.13194912444143242,0.32240399273897163,False
Immunoglobulin heavy variable 3-20,Concentration/ml,time1,20,17,0.22907627760491486,"[-0.25, 0.62]",0.3454970795354847,0.5557996496875188,False
Neurogenic locus notch homolog protein 2,Concentration/ml,time1,20,17,0.15122946413666205,"[-0.33, 0.57]",0.5365667540888653,0.7043564292545744,False
Apolipoprotein B-100,Concentration/ml,time1,20,17,0.15280616519036902,"[-0.32, 0.57]",0.5322775687475005,0.703849702448751,False
CD44 antigen,Concentration/ml,time1,20,17,0.41488239151468354,"[-0.05, 0.73]",0.07735125861772374,0.23384886881886663,False
Pigment epithelium-derived factor,Concentration/ml,time1,20,17,0.39601186450079595,"[-0.07, 0.72]",0.09326539423892617,0.252932260503469,False
Xaa-Pro dipeptidase,Concentration/ml,time1,20,17,-0.09760898866601782,"[-0.53, 0.37]",0.6909731895975739,0.8043238476663894,False
Immunoglobulin heavy constant delta,Concentration/ml,time1,20,17,0.2954485529926403,"[-0.18, 0.66]",0.21942976545679724,0.4238866808437701,False
Probable non-functional immunoglobulin heavy variable 3-38-3,Concentration/ml,time1,20,17,-0.15825714592803555,"[-0.57, 0.32]",0.5175717328452922,0.7008989962514502,False
Immunoglobulin lambda constant 7,Concentration/ml,time1,20,17,-0.5984106699415053,"[-0.83, -0.20]",0.006795632530142766,0.04938647012262322,True
