Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Concentration/ml,20,39,-0.27499999999999936,"[-0.54, 0.04]",0.08183609289594752,0.7850202985203855,False
Apolipoprotein A-IV,Concentration/ml,20,39,-0.024999999999999828,"[-0.33, 0.28]",0.8767016791266298,0.9305972741549062,False
Coagulation factor XII,Concentration/ml,20,39,0.0499999999999994,"[-0.26, 0.35]",0.7562191489680836,0.9305972741549062,False
Mannan-binding lectin serine protease 1,Concentration/ml,20,39,0.19999999999999948,"[-0.11, 0.48]",0.2099387425744199,0.9062355721129126,False
Complement factor I,Concentration/ml,20,39,-0.02499999999999913,"[-0.33, 0.28]",0.8767016791266298,0.9305972741549062,False
Platelet glycoprotein Ib alpha chain,Concentration/ml,20,39,-0.2749999999999993,"[-0.54, 0.04]",0.08183609289594752,0.7850202985203855,False
Hepatocyte growth factor-like protein,Concentration/ml,20,39,0.07500000000000079,"[-0.24, 0.37]",0.6411866947841472,0.9305972741549062,False
Profilin-1,Concentration/ml,20,39,0.1499999999999998,"[-0.17, 0.44]",0.34923374105217864,0.9259391113031575,False
Peptidase inhibitor 16,Concentration/ml,20,39,-0.20000000000000015,"[-0.48, 0.11]",0.20993874257441825,0.9062355721129126,False
Cell surface glycoprotein MUC18,Concentration/ml,20,39,-0.10000000000000013,"[-0.40, 0.21]",0.5338939001152925,0.9305972741549062,False
Adhesion G-protein coupled receptor G6,Concentration/ml,20,39,0.0499999999999996,"[-0.26, 0.35]",0.7562191489680836,0.9305972741549062,False
Immunoglobulin heavy variable 1-69,Concentration/ml,20,39,7.84095011141517e-16,"[-0.31, 0.31]",1.0,1.0,False
Insulin-like growth factor-binding protein complex acid labile subunit,Concentration/ml,20,39,-0.32499999999999946,"[-0.58, -0.02]",0.03814283706459549,0.598726957559408,False
Plasma serine protease inhibitor,Concentration/ml,20,39,-0.07499999999999993,"[-0.37, 0.24]",0.6411866947841538,0.9305972741549062,False
Immunoglobulin heavy variable 1-69D,Concentration/ml,20,39,0.42499999999999954,"[0.14, 0.65]",0.005608377882559792,0.5369835569224318,False
Pancreatic adenocarcinoma up-regulated factor,Concentration/ml,20,39,0.10000000000000062,"[-0.21, 0.40]",0.5338939001152925,0.9305972741549062,False
Immunoglobulin heavy variable 3-64D,Concentration/ml,20,39,0.3499999999999992,"[0.05, 0.59]",0.024879547038877146,0.5369835569224318,False
Neutrophil gelatinase-associated lipocalin,Concentration/ml,20,39,0.19999999999999954,"[-0.11, 0.48]",0.2099387425744199,0.9062355721129126,False
Lysosome-associated membrane glycoprotein 2,Concentration/ml,20,39,0.17500000000000038,"[-0.14, 0.46]",0.27379479263839523,0.9259391113031575,False
Corneodesmosin,Concentration/ml,20,39,-0.10000000000000003,"[-0.40, 0.21]",0.5338939001152971,0.9305972741549062,False
Collagen alpha-1(XVIII) chain,Concentration/ml,20,39,0.10000000000000063,"[-0.21, 0.40]",0.5338939001152925,0.9305972741549062,False
Lipopolysaccharide-binding protein,Concentration/ml,20,39,0.04999999999999934,"[-0.26, 0.35]",0.7562191489680836,0.9305972741549062,False
Immunoglobulin heavy variable 3-49,Concentration/ml,20,39,0.07499999999999993,"[-0.24, 0.37]",0.6411866947841538,0.9305972741549062,False
SPARC-like protein 1,Concentration/ml,20,39,0.12499999999999964,"[-0.19, 0.42]",0.43615664702310897,0.9259391113031575,False
Ras-associated and pleckstrin homology domains-containing protein 1,Concentration/ml,20,39,0.3750000000000002,"[0.08, 0.61]",0.015700418653338336,0.5369835569224318,False
Alpha-1-acid glycoprotein 2,Concentration/ml,20,39,-0.07499999999999936,"[-0.37, 0.24]",0.6411866947841538,0.9305972741549062,False
Immunoglobulin heavy variable 3-20,Concentration/ml,20,39,0.2749999999999997,"[-0.04, 0.54]",0.0818360928959473,0.7850202985203855,False
Neurogenic locus notch homolog protein 2,Concentration/ml,20,39,0.24999999999999964,"[-0.06, 0.52]",0.11492787448834102,0.8627918693472629,False
Apolipoprotein B-100,Concentration/ml,20,39,0.1750000000000005,"[-0.14, 0.46]",0.27379479263839546,0.9259391113031575,False
CD44 antigen,Concentration/ml,20,39,0.04999999999999955,"[-0.26, 0.35]",0.7562191489680836,0.9305972741549062,False
Pigment epithelium-derived factor,Concentration/ml,20,39,-0.17499999999999938,"[-0.46, 0.14]",0.2737947926383973,0.9259391113031575,False
Xaa-Pro dipeptidase,Concentration/ml,20,39,0.2000000000000002,"[-0.11, 0.48]",0.20993874257441825,0.9062355721129126,False
Immunoglobulin heavy constant delta,Concentration/ml,20,39,-0.2499999999999993,"[-0.52, 0.06]",0.11492787448834166,0.8627918693472629,False
Probable non-functional immunoglobulin heavy variable 3-38-3,Concentration/ml,20,39,0.025000000000000695,"[-0.28, 0.33]",0.8767016791266298,0.9305972741549062,False
Immunoglobulin lambda constant 7,Concentration/ml,20,39,-0.10000000000000026,"[-0.40, 0.21]",0.5338939001152925,0.9305972741549062,False
