Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Concentration/ml,delta_time2_vs_time1,20,17,-0.18017367101815351,"[-0.59, 0.30]",0.4604445713770563,0.9859192804439811,False
Apolipoprotein A-IV,Concentration/ml,delta_time2_vs_time1,20,17,-0.15907119074394457,"[-0.57, 0.32]",0.515392107171293,0.9859192804439811,False
Coagulation factor XII,Concentration/ml,delta_time2_vs_time1,20,17,-0.330261683670636,"[-0.68, 0.15]",0.1672908027318951,0.9859192804439811,False
Mannan-binding lectin serine protease 1,Concentration/ml,delta_time2_vs_time1,20,17,0.2279261511353692,"[-0.25, 0.62]",0.34799086032256654,0.9859192804439811,False
Complement factor I,Concentration/ml,delta_time2_vs_time1,20,17,-0.07543335563988778,"[-0.51, 0.39]",0.7589031463990058,0.990774006958089,False
Platelet glycoprotein Ib alpha chain,Concentration/ml,delta_time2_vs_time1,20,17,-0.09920906849536089,"[-0.53, 0.37]",0.6861512151479687,0.9859192804439811,False
Hepatocyte growth factor-like protein,Concentration/ml,delta_time2_vs_time1,20,17,-0.06355580950484062,"[-0.50, 0.40]",0.7960313036482782,0.990774006958089,False
Profilin-1,Concentration/ml,delta_time2_vs_time1,20,17,-0.10377500493364503,"[-0.53, 0.37]",0.6724556134835371,0.9859192804439811,False
Peptidase inhibitor 16,Concentration/ml,delta_time2_vs_time1,20,17,-0.2394788511924517,"[-0.63, 0.24]",0.323414681225473,0.9859192804439811,False
Cell surface glycoprotein MUC18,Concentration/ml,delta_time2_vs_time1,20,17,-0.23250861201004674,"[-0.62, 0.25]",0.3381166283008594,0.9859192804439811,False
Adhesion G-protein coupled receptor G6,Concentration/ml,delta_time2_vs_time1,20,17,0.16936550425326324,"[-0.31, 0.58]",0.4882080340990955,0.9859192804439811,False
Immunoglobulin heavy variable 1-69,Concentration/ml,delta_time2_vs_time1,20,17,0.2870256732778082,"[-0.19, 0.66]",0.2334756365812434,0.9859192804439811,False
Insulin-like growth factor-binding protein complex acid labile subunit,Concentration/ml,delta_time2_vs_time1,20,17,0.022586980537011747,"[-0.44, 0.47]",0.926871617034252,0.9926311476947687,False
Plasma serine protease inhibitor,Concentration/ml,delta_time2_vs_time1,20,17,0.015573754796680918,"[-0.44, 0.47]",0.9495441475984374,0.9926311476947687,False
Immunoglobulin heavy variable 1-69D,Concentration/ml,delta_time2_vs_time1,20,17,0.03638392019465186,"[-0.42, 0.48]",0.882441227359575,0.9926311476947687,False
Pancreatic adenocarcinoma up-regulated factor,Concentration/ml,delta_time2_vs_time1,20,17,0.28164723054669105,"[-0.20, 0.65]",0.24274067183827489,0.9859192804439811,False
Immunoglobulin heavy variable 3-64D,Concentration/ml,delta_time2_vs_time1,20,17,0.05728084190673632,"[-0.41, 0.50]",0.8158224519875985,0.990774006958089,False
Neutrophil gelatinase-associated lipocalin,Concentration/ml,delta_time2_vs_time1,20,17,0.11418130968109062,"[-0.36, 0.54]",0.6416139340373306,0.9859192804439811,False
Lysosome-associated membrane glycoprotein 2,Concentration/ml,delta_time2_vs_time1,20,17,0.004961443662907204,"[-0.45, 0.46]",0.9839171561607469,0.9950985873486714,False
Corneodesmosin,Concentration/ml,delta_time2_vs_time1,20,17,0.09860893872630383,"[-0.37, 0.53]",0.6879584078142673,0.9859192804439811,False
Collagen alpha-1(XVIII) chain,Concentration/ml,delta_time2_vs_time1,20,17,0.3162177275181607,"[-0.16, 0.67]",0.1871907679235107,0.9859192804439811,False
Lipopolysaccharide-binding protein,Concentration/ml,delta_time2_vs_time1,20,17,-0.14759225833184142,"[-0.56, 0.33]",0.5465210436753871,0.9859192804439811,False
Immunoglobulin heavy variable 3-49,Concentration/ml,delta_time2_vs_time1,20,17,0.21382341575037475,"[-0.27, 0.61]",0.3794070732573628,0.9859192804439811,False
SPARC-like protein 1,Concentration/ml,delta_time2_vs_time1,20,17,0.2637933508862861,"[-0.22, 0.64]",0.27515795112701463,0.9859192804439811,False
Ras-associated and pleckstrin homology domains-containing protein 1,Concentration/ml,delta_time2_vs_time1,20,17,0.1603240292958139,"[-0.32, 0.57]",0.5120460833086783,0.9859192804439811,False
Alpha-1-acid glycoprotein 2,Concentration/ml,delta_time2_vs_time1,20,17,0.21182963643408076,"[-0.27, 0.61]",0.38397245075192765,0.9859192804439811,False
Immunoglobulin heavy variable 3-20,Concentration/ml,delta_time2_vs_time1,20,17,-0.10804476326591733,"[-0.54, 0.36]",0.6597370434583651,0.9859192804439811,False
Neurogenic locus notch homolog protein 2,Concentration/ml,delta_time2_vs_time1,20,17,0.024092779239478532,"[-0.43, 0.47]",0.9220100870799732,0.9926311476947687,False
Apolipoprotein B-100,Concentration/ml,delta_time2_vs_time1,20,17,0.2963454844822998,"[-0.18, 0.66]",0.21796728223626616,0.9859192804439811,False
CD44 antigen,Concentration/ml,delta_time2_vs_time1,20,17,-0.1007171133293262,"[-0.53, 0.37]",0.6816171948492862,0.9859192804439811,False
Pigment epithelium-derived factor,Concentration/ml,delta_time2_vs_time1,20,17,-0.18277470669267515,"[-0.59, 0.30]",0.4538853636419625,0.9859192804439811,False
Xaa-Pro dipeptidase,Concentration/ml,delta_time2_vs_time1,20,17,0.17671615325736126,"[-0.30, 0.58]",0.4692376067923625,0.9859192804439811,False
Immunoglobulin heavy constant delta,Concentration/ml,delta_time2_vs_time1,20,17,0.28484058613450036,"[-0.19, 0.65]",0.23721183567629003,0.9859192804439811,False
Probable non-functional immunoglobulin heavy variable 3-38-3,Concentration/ml,delta_time2_vs_time1,20,17,0.21756575369771702,"[-0.26, 0.61]",0.3709202380284238,0.9859192804439811,False
Immunoglobulin lambda constant 7,Concentration/ml,delta_time2_vs_time1,20,17,-0.31504463048705056,"[-0.67, 0.16]",0.1889217733085844,0.9859192804439811,False
Receptor-type tyrosine-protein phosphatase gamma,Concentration/ml,delta_time2_vs_time1,20,17,0.11786009846708262,"[-0.36, 0.54]",0.6308408292454254,0.9859192804439811,False
Afamin,Concentration/ml,delta_time2_vs_time1,20,17,-0.12039273621059395,"[-0.54, 0.35]",0.6234652073447742,0.9859192804439811,False
Pyruvate kinase PKLR,Concentration/ml,delta_time2_vs_time1,20,17,0.2030079315544225,"[-0.28, 0.60]",0.40453550560902174,0.9859192804439811,False
Insulin-like growth factor 2,Concentration/ml,delta_time2_vs_time1,20,17,0.23588838927620942,"[-0.24, 0.62]",0.33093987558412685,0.9859192804439811,False
CD109 antigen,Concentration/ml,delta_time2_vs_time1,20,17,-0.06089286781686297,"[-0.50, 0.40]",0.8044163480660762,0.990774006958089,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Concentration/ml,delta_time2_vs_time1,20,17,-0.05302373024798194,"[-0.50, 0.41]",0.8293111184470229,0.990774006958089,False
