Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Mean Value (nm),time1,20,17,-0.053845605613501296,"[-0.50, 0.41]",0.8267033213306357,0.8935657380438369,False
Apolipoprotein A-IV,Mean Value (nm),time1,20,17,0.7269156757822676,"[0.41, 0.89]",0.0004222574377900976,0.007953794646373476,True
Coagulation factor XII,Mean Value (nm),time1,20,17,-0.5400827434936785,"[-0.80, -0.11]",0.016984824857319603,0.08541882792321898,False
Mannan-binding lectin serine protease 1,Mean Value (nm),time1,20,17,0.6606379500701153,"[0.29, 0.86]",0.002076706847214701,0.019558802670131183,True
Complement factor I,Mean Value (nm),time1,20,17,0.4003052915254328,"[-0.07, 0.72]",0.08945137387575552,0.24323260717921977,False
Platelet glycoprotein Ib alpha chain,Mean Value (nm),time1,20,17,-0.3883803392761315,"[-0.72, 0.08]",0.1003350378857201,0.26117361620504026,False
Hepatocyte growth factor-like protein,Mean Value (nm),time1,20,17,-0.4064693555284785,"[-0.73, 0.06]",0.08417673606504898,0.23569486098213716,False
Profilin-1,Mean Value (nm),time1,20,17,0.36275598966915734,"[-0.11, 0.70]",0.1269069780737013,0.3069080256518047,False
Peptidase inhibitor 16,Mean Value (nm),time1,20,17,0.550096840681767,"[0.13, 0.80]",0.014677212263695753,0.07641000957381307,False
Cell surface glycoprotein MUC18,Mean Value (nm),time1,20,17,-0.3496917777066756,"[-0.69, 0.12]",0.1422146368169799,0.3291079999272868,False
Adhesion G-protein coupled receptor G6,Mean Value (nm),time1,20,17,0.4113078216858809,"[-0.05, 0.73]",0.08019936179699318,0.2284808628831928,False
Immunoglobulin heavy variable 1-69,Mean Value (nm),time1,20,17,-0.3551350655164442,"[-0.70, 0.12]",0.13568776047285205,0.3224140363529237,False
Insulin-like growth factor-binding protein complex acid labile subunit,Mean Value (nm),time1,20,17,-0.4874205243175455,"[-0.77, -0.04]",0.03427702645939194,0.13605746901122626,False
