Variable_A,Variable_B,n,df,r_rm,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Mean Value (nm),20,39,-0.12499999999999949,"[-0.42, 0.19]",0.43615664702310897,0.9052603609156303,False
Apolipoprotein A-IV,Mean Value (nm),20,39,3.05311331771918e-16,"[-0.31, 0.31]",1.0,1.0,False
Coagulation factor XII,Mean Value (nm),20,39,-0.10000000000000056,"[-0.40, 0.21]",0.5338939001152925,0.9052603609156303,False
Mannan-binding lectin serine protease 1,Mean Value (nm),20,39,-0.3250000000000006,"[-0.58, -0.02]",0.038142837064594835,0.6079381415218639,False
Complement factor I,Mean Value (nm),20,39,0.025000000000000747,"[-0.28, 0.33]",0.8767016791266298,0.9249113437629211,False
Platelet glycoprotein Ib alpha chain,Mean Value (nm),20,39,-0.07499999999999943,"[-0.37, 0.24]",0.6411866947841538,0.9124579887312957,False
Hepatocyte growth factor-like protein,Mean Value (nm),20,39,0.10000000000000059,"[-0.21, 0.40]",0.5338939001152925,0.9052603609156303,False
Profilin-1,Mean Value (nm),20,39,-0.10000000000000038,"[-0.40, 0.21]",0.5338939001152925,0.9052603609156303,False
Peptidase inhibitor 16,Mean Value (nm),20,39,-3.6082248300317583e-16,"[-0.31, 0.31]",1.0,1.0,False
Cell surface glycoprotein MUC18,Mean Value (nm),20,39,-0.050000000000000315,"[-0.35, 0.26]",0.7562191489680836,0.9227833195888512,False
Adhesion G-protein coupled receptor G6,Mean Value (nm),20,39,-0.2750000000000003,"[-0.54, 0.04]",0.08183609289594658,0.7006792747124143,False
Immunoglobulin heavy variable 1-69,Mean Value (nm),20,39,0.1000000000000006,"[-0.21, 0.40]",0.5338939001152925,0.9052603609156303,False
Insulin-like growth factor-binding protein complex acid labile subunit,Mean Value (nm),20,39,-0.0499999999999996,"[-0.35, 0.26]",0.7562191489680836,0.9227833195888512,False
Plasma serine protease inhibitor,Mean Value (nm),20,39,-0.175,"[-0.46, 0.14]",0.27379479263839523,0.8947993854049852,False
Immunoglobulin heavy variable 1-69D,Mean Value (nm),20,39,0.09999999999999935,"[-0.21, 0.40]",0.5338939001152971,0.9052603609156303,False
Pancreatic adenocarcinoma up-regulated factor,Mean Value (nm),20,39,5.412337245047638e-16,"[-0.31, 0.31]",1.0,1.0,False
Immunoglobulin heavy variable 3-64D,Mean Value (nm),20,39,-0.20000000000000087,"[-0.48, 0.11]",0.20993874257441536,0.8841322654760123,False
Neutrophil gelatinase-associated lipocalin,Mean Value (nm),20,39,-0.32500000000000046,"[-0.58, -0.02]",0.038142837064594946,0.6079381415218639,False
Lysosome-associated membrane glycoprotein 2,Mean Value (nm),20,39,-0.1249999999999997,"[-0.42, 0.19]",0.43615664702310897,0.9052603609156303,False
Corneodesmosin,Mean Value (nm),20,39,-0.025000000000000237,"[-0.33, 0.28]",0.8767016791266298,0.9249113437629211,False
Collagen alpha-1(XVIII) chain,Mean Value (nm),20,39,3.6082248300317583e-16,"[-0.31, 0.31]",1.0,1.0,False
Lipopolysaccharide-binding protein,Mean Value (nm),20,39,-0.22500000000000073,"[-0.50, 0.09]",0.1572566507556209,0.8312137254225823,False
Immunoglobulin heavy variable 3-49,Mean Value (nm),20,39,-0.1000000000000001,"[-0.40, 0.21]",0.5338939001152925,0.9052603609156303,False
SPARC-like protein 1,Mean Value (nm),20,39,-0.22500000000000034,"[-0.50, 0.09]",0.15725665075562173,0.8312137254225823,False
Ras-associated and pleckstrin homology domains-containing protein 1,Mean Value (nm),20,39,0.25000000000000017,"[-0.06, 0.52]",0.11492787448834065,0.7632389613456535,False
Alpha-1-acid glycoprotein 2,Mean Value (nm),20,39,-0.12499999999999944,"[-0.42, 0.19]",0.43615664702310897,0.9052603609156303,False
Immunoglobulin heavy variable 3-20,Mean Value (nm),20,39,0.2499999999999995,"[-0.06, 0.52]",0.11492787448834166,0.7632389613456535,False
Neurogenic locus notch homolog protein 2,Mean Value (nm),20,39,0.12499999999999954,"[-0.19, 0.42]",0.43615664702310897,0.9052603609156303,False
Apolipoprotein B-100,Mean Value (nm),20,39,-0.12499999999999954,"[-0.42, 0.19]",0.43615664702310897,0.9052603609156303,False
CD44 antigen,Mean Value (nm),20,39,0.02499999999999936,"[-0.28, 0.33]",0.8767016791266298,0.9249113437629211,False
Pigment epithelium-derived factor,Mean Value (nm),20,39,0.17500000000000035,"[-0.14, 0.46]",0.27379479263839523,0.8947993854049852,False
Xaa-Pro dipeptidase,Mean Value (nm),20,39,-0.2999999999999996,"[-0.56, 0.01]",0.05669100677848863,0.6750791152013149,False
Immunoglobulin heavy constant delta,Mean Value (nm),20,39,-0.24999999999999944,"[-0.52, 0.06]",0.11492787448834166,0.7632389613456535,False
Probable non-functional immunoglobulin heavy variable 3-38-3,Mean Value (nm),20,39,-0.0999999999999994,"[-0.40, 0.21]",0.5338939001152971,0.9052603609156303,False
Immunoglobulin lambda constant 7,Mean Value (nm),20,39,-0.050000000000000384,"[-0.35, 0.26]",0.7562191489680836,0.9227833195888512,False
Receptor-type tyrosine-protein phosphatase gamma,Mean Value (nm),20,39,-0.22499999999999973,"[-0.50, 0.09]",0.1572566507556232,0.8312137254225823,False
Afamin,Mean Value (nm),20,39,-0.12500000000000053,"[-0.42, 0.19]",0.4361566470231041,0.9052603609156303,False
Pyruvate kinase PKLR,Mean Value (nm),20,39,0.10000000000000048,"[-0.21, 0.40]",0.5338939001152925,0.9052603609156303,False
Insulin-like growth factor 2,Mean Value (nm),20,39,-0.025000000000000352,"[-0.33, 0.28]",0.8767016791266298,0.9249113437629211,False
CD109 antigen,Mean Value (nm),20,39,-0.14999999999999947,"[-0.44, 0.17]",0.34923374105217975,0.9052603609156303,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Mean Value (nm),20,39,0.024999999999999307,"[-0.28, 0.33]",0.8767016791266298,0.9249113437629211,False
Dedicator of cytokinesis protein 4,Mean Value (nm),20,39,-0.3500000000000001,"[-0.59, -0.05]",0.024879547038876668,0.5858002439153787,False
Complement factor H-related protein 2,Mean Value (nm),20,39,-0.024999999999999984,"[-0.33, 0.28]",0.8767016791266298,0.9249113437629211,False
Selenoprotein P,Mean Value (nm),20,39,-0.07499999999999962,"[-0.37, 0.24]",0.6411866947841538,0.9124579887312957,False
Adipocyte plasma membrane-associated protein,Mean Value (nm),20,39,0.27499999999999963,"[-0.04, 0.54]",0.0818360928959473,0.7006792747124143,False
Immunoglobulin heavy constant alpha 2,Mean Value (nm),20,39,-0.2750000000000004,"[-0.54, 0.04]",0.08183609289594658,0.7006792747124143,False
Lactotransferrin,Mean Value (nm),20,39,-0.2500000000000002,"[-0.52, 0.06]",0.11492787448833999,0.7632389613456535,False
Alpha-enolase,Mean Value (nm),20,39,0.02499999999999968,"[-0.28, 0.33]",0.8767016791266298,0.9249113437629211,False
Immunoglobulin heavy constant gamma 1,Mean Value (nm),20,39,-0.17500000000000032,"[-0.46, 0.14]",0.27379479263839523,0.8947993854049852,False
Collectin-10,Mean Value (nm),20,39,-0.050000000000000766,"[-0.35, 0.26]",0.7562191489680732,0.9227833195888512,False
Lysosome-associated membrane glycoprotein 1,Mean Value (nm),20,39,0.2999999999999997,"[-0.01, 0.56]",0.05669100677848863,0.6750791152013149,False
Cathelicidin antimicrobial peptide,Mean Value (nm),20,39,-0.07499999999999944,"[-0.37, 0.24]",0.6411866947841538,0.9124579887312957,False
Fibroblast growth factor-binding protein 2,Mean Value (nm),20,39,0.07500000000000044,"[-0.24, 0.37]",0.6411866947841472,0.9124579887312957,False
Lymphatic vessel endothelial hyaluronic acid receptor 1,Mean Value (nm),20,39,0.07499999999999954,"[-0.24, 0.37]",0.6411866947841538,0.9124579887312957,False
Haptoglobin,Mean Value (nm),20,39,0.07499999999999993,"[-0.24, 0.37]",0.6411866947841538,0.9124579887312957,False
Tenascin-X,Mean Value (nm),20,39,3.4694469519536147e-16,"[-0.31, 0.31]",1.0,1.0,False
Zinc finger protein 512B,Mean Value (nm),20,39,-0.05000000000000068,"[-0.35, 0.26]",0.7562191489680732,0.9227833195888512,False
Immunoglobulin lambda variable 3-19,Mean Value (nm),20,39,-0.39999999999999947,"[-0.63, -0.11]",0.00956354847695802,0.5858002439153787,False
