Variable_A,Variable_B,TimeWindow,n,df,r,CI_95%,p_val,p_adj,is_significant
Probable non-functional immunoglobulin kappa variable 3-7,Mean Value (nm),delta_time2_vs_time1,20,17,-0.21000610491736663,"[-0.61, 0.27]",0.38817459668359566,0.8448505927819434,False
Apolipoprotein A-IV,Mean Value (nm),delta_time2_vs_time1,20,17,0.38927110254369146,"[-0.08, 0.72]",0.0994904588646009,0.6825967906207056,False
Coagulation factor XII,Mean Value (nm),delta_time2_vs_time1,20,17,0.3237504306923487,"[-0.15, 0.68]",0.17632903925534252,0.7456199374225913,False
Mannan-binding lectin serine protease 1,Mean Value (nm),delta_time2_vs_time1,20,17,-0.5825841564995556,"[-0.82, -0.17]",0.008857261571728144,0.4470737252257043,False
Complement factor I,Mean Value (nm),delta_time2_vs_time1,20,17,-0.07867758111152648,"[-0.51, 0.39]",0.748845591345636,0.9769906339019859,False
Platelet glycoprotein Ib alpha chain,Mean Value (nm),delta_time2_vs_time1,20,17,-0.3255895921534495,"[-0.68, 0.15]",0.17374332839063433,0.7387093205308769,False
Hepatocyte growth factor-like protein,Mean Value (nm),delta_time2_vs_time1,20,17,0.216508815086812,"[-0.26, 0.61]",0.37330622678294567,0.8448505927819434,False
Profilin-1,Mean Value (nm),delta_time2_vs_time1,20,17,0.46823019088722156,"[0.02, 0.76]",0.04319003210510247,0.536503542546452,False
Peptidase inhibitor 16,Mean Value (nm),delta_time2_vs_time1,20,17,-0.22362143150914784,"[-0.62, 0.26]",0.35741650964893135,0.8448505927819434,False
Cell surface glycoprotein MUC18,Mean Value (nm),delta_time2_vs_time1,20,17,-0.08091094974909271,"[-0.52, 0.39]",0.7419442213495413,0.9769906339019859,False
Adhesion G-protein coupled receptor G6,Mean Value (nm),delta_time2_vs_time1,20,17,-0.08775612034582546,"[-0.52, 0.38]",0.7209110066908733,0.9720008439065221,False
Immunoglobulin heavy variable 1-69,Mean Value (nm),delta_time2_vs_time1,20,17,0.021350420507345348,"[-0.44, 0.47]",0.9308657628200359,0.9828289159510588,False
Insulin-like growth factor-binding protein complex acid labile subunit,Mean Value (nm),delta_time2_vs_time1,20,17,0.2649010943248815,"[-0.22, 0.64]",0.2730721880825856,0.8049768931977531,False
Plasma serine protease inhibitor,Mean Value (nm),delta_time2_vs_time1,20,17,-0.2490677406933591,"[-0.63, 0.23]",0.3038194996518972,0.8049768931977531,False
Immunoglobulin heavy variable 1-69D,Mean Value (nm),delta_time2_vs_time1,20,17,-0.2785972249298976,"[-0.65, 0.20]",0.24809751533895236,0.8049768931977531,False
Pancreatic adenocarcinoma up-regulated factor,Mean Value (nm),delta_time2_vs_time1,20,17,-0.5535043334240528,"[-0.81, -0.13]",0.013951872198975592,0.4709300614264398,False
Immunoglobulin heavy variable 3-64D,Mean Value (nm),delta_time2_vs_time1,20,17,-0.657327790176967,"[-0.86, -0.29]",0.0022264384256956713,0.33990766434333936,False
Neutrophil gelatinase-associated lipocalin,Mean Value (nm),delta_time2_vs_time1,20,17,0.2548392385559417,"[-0.23, 0.64]",0.2923790031885103,0.8049768931977531,False
Lysosome-associated membrane glycoprotein 2,Mean Value (nm),delta_time2_vs_time1,20,17,-0.2609644891748409,"[-0.64, 0.22]",0.2805290857080465,0.8049768931977531,False
Corneodesmosin,Mean Value (nm),delta_time2_vs_time1,20,17,0.3938407301205895,"[-0.07, 0.72]",0.09523857506751363,0.6759341052508534,False
Collagen alpha-1(XVIII) chain,Mean Value (nm),delta_time2_vs_time1,20,17,-0.266506555502608,"[-0.64, 0.21]",0.27006675893253596,0.8049768931977531,False
Lipopolysaccharide-binding protein,Mean Value (nm),delta_time2_vs_time1,20,17,-0.10654635360810658,"[-0.53, 0.37]",0.6641904869696322,0.9583584185244276,False
Immunoglobulin heavy variable 3-49,Mean Value (nm),delta_time2_vs_time1,20,17,-0.2327918707703504,"[-0.62, 0.25]",0.3375116858724686,0.8374399649820705,False
SPARC-like protein 1,Mean Value (nm),delta_time2_vs_time1,20,17,-0.3632178009290821,"[-0.70, 0.11]",0.12638812255311058,0.7218926089642522,False
Ras-associated and pleckstrin homology domains-containing protein 1,Mean Value (nm),delta_time2_vs_time1,20,17,-0.26698450547634245,"[-0.64, 0.21]",0.269176031773009,0.8049768931977531,False
Alpha-1-acid glycoprotein 2,Mean Value (nm),delta_time2_vs_time1,20,17,0.08830215713766981,"[-0.38, 0.52]",0.7192412065055374,0.9720008439065221,False
Immunoglobulin heavy variable 3-20,Mean Value (nm),delta_time2_vs_time1,20,17,-0.12671537029181576,"[-0.55, 0.35]",0.605202546063947,0.9545053881926984,False
Neurogenic locus notch homolog protein 2,Mean Value (nm),delta_time2_vs_time1,20,17,-0.48163835331796656,"[-0.77, -0.04]",0.03679675054936716,0.5332113903097389,False
Apolipoprotein B-100,Mean Value (nm),delta_time2_vs_time1,20,17,-0.5561529272932475,"[-0.81, -0.14]",0.01340814233001466,0.4709300614264398,False
CD44 antigen,Mean Value (nm),delta_time2_vs_time1,20,17,0.15604114702933597,"[-0.32, 0.57]",0.5235269918889225,0.9255528389026002,False
Pigment epithelium-derived factor,Mean Value (nm),delta_time2_vs_time1,20,17,0.4615384615384611,"[0.01, 0.76]",0.04668338508165615,0.5481585312958559,False
Xaa-Pro dipeptidase,Mean Value (nm),delta_time2_vs_time1,20,17,-0.37517176354737597,"[-0.71, 0.10]",0.11347460786991057,0.6956194896640671,False
Immunoglobulin heavy constant delta,Mean Value (nm),delta_time2_vs_time1,20,17,-0.04026868310434449,"[-0.49, 0.42]",0.8699859342380949,0.979498961893774,False
Probable non-functional immunoglobulin heavy variable 3-38-3,Mean Value (nm),delta_time2_vs_time1,20,17,-0.19024509844808088,"[-0.59, 0.29]",0.4353161365788406,0.883808526203532,False
Immunoglobulin lambda constant 7,Mean Value (nm),delta_time2_vs_time1,20,17,0.17839458364215985,"[-0.30, 0.59]",0.46495858561699366,0.9003786258757829,False
Receptor-type tyrosine-protein phosphatase gamma,Mean Value (nm),delta_time2_vs_time1,20,17,-0.1205664068610488,"[-0.54, 0.35]",0.6229606831629748,0.9545053881926984,False
Afamin,Mean Value (nm),delta_time2_vs_time1,20,17,0.1662110701230303,"[-0.31, 0.58]",0.4964624392010466,0.907116555577221,False
Pyruvate kinase PKLR,Mean Value (nm),delta_time2_vs_time1,20,17,-0.3422838063869308,"[-0.69, 0.13]",0.1514445179986595,0.7278539353623202,False
Insulin-like growth factor 2,Mean Value (nm),delta_time2_vs_time1,20,17,0.11967971408808366,"[-0.35, 0.54]",0.6255382625745293,0.9545053881926984,False
CD109 antigen,Mean Value (nm),delta_time2_vs_time1,20,17,0.211463845043156,"[-0.27, 0.61]",0.3848133454530698,0.8448505927819434,False
ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2,Mean Value (nm),delta_time2_vs_time1,20,17,-0.07268547557869778,"[-0.51, 0.39]",0.767451117890135,0.979264391124706,False
Dedicator of cytokinesis protein 4,Mean Value (nm),delta_time2_vs_time1,20,17,-0.029016674467473854,"[-0.48, 0.43]",0.9061324400656137,0.9801335421758791,False
Complement factor H-related protein 2,Mean Value (nm),delta_time2_vs_time1,20,17,0.020134341552172218,"[-0.44, 0.47]",0.9347952979569146,0.9828289159510588,False
Selenoprotein P,Mean Value (nm),delta_time2_vs_time1,20,17,0.027765770957343172,"[-0.43, 0.48]",0.9101631201358007,0.9809260199580644,False
Adipocyte plasma membrane-associated protein,Mean Value (nm),delta_time2_vs_time1,20,17,0.11767873534031038,"[-0.36, 0.54]",0.6313702951283471,0.9545053881926984,False
Immunoglobulin heavy constant alpha 2,Mean Value (nm),delta_time2_vs_time1,20,17,-0.631387931970386,"[-0.84, -0.25]",0.0037395946448628794,0.33990766434333936,False
Lactotransferrin,Mean Value (nm),delta_time2_vs_time1,20,17,0.05159684955941685,"[-0.41, 0.49]",0.83384263425605,0.979498961893774,False
Alpha-enolase,Mean Value (nm),delta_time2_vs_time1,20,17,0.5082419475577012,"[0.07, 0.78]",0.026294331566821063,0.5303551455531277,False
Immunoglobulin heavy constant gamma 1,Mean Value (nm),delta_time2_vs_time1,20,17,-0.4281419896126311,"[-0.74, 0.03]",0.06743716966960452,0.6315439015565582,False
Collectin-10,Mean Value (nm),delta_time2_vs_time1,20,17,-0.26495031970106875,"[-0.64, 0.22]",0.27297973051726004,0.8049768931977531,False
Lysosome-associated membrane glycoprotein 1,Mean Value (nm),delta_time2_vs_time1,20,17,0.24066968580502063,"[-0.24, 0.63]",0.3209413959110744,0.8219420628602696,False
Cathelicidin antimicrobial peptide,Mean Value (nm),delta_time2_vs_time1,20,17,-0.20776702251694668,"[-0.60, 0.27]",0.3933689721467104,0.8507938520751398,False
Fibroblast growth factor-binding protein 2,Mean Value (nm),delta_time2_vs_time1,20,17,0.01776756069701477,"[-0.44, 0.47]",0.9424471760273896,0.9828289159510588,False
Lymphatic vessel endothelial hyaluronic acid receptor 1,Mean Value (nm),delta_time2_vs_time1,20,17,-0.33107463270526943,"[-0.68, 0.14]",0.16618499575316062,0.7378412547139325,False
Haptoglobin,Mean Value (nm),delta_time2_vs_time1,20,17,-0.3270705277658392,"[-0.68, 0.15]",0.17168004485897395,0.7387093205308769,False
Tenascin-X,Mean Value (nm),delta_time2_vs_time1,20,17,-0.061378846044233215,"[-0.50, 0.40]",0.8028845506586603,0.979264391124706,False
Zinc finger protein 512B,Mean Value (nm),delta_time2_vs_time1,20,17,-0.17357310840858806,"[-0.58, 0.30]",0.4773034338144172,0.903015757589255,False
