Metric,VIP Score
FAT%_Male,2.2324822592696942
VO2peak(ml/kg/min)_Male,1.415290108728186
Waist Circumference(cm)_Male,1.0911770492596116
Diastolic BP(mm Hg)_Male,1.0219625402216734
BMI(kg/m2)_Male,0.9555770954370983
Waist Circumference(cm)_Female,0.8903150627593367
Heart rate(/min)_Female,0.8094219572780971
Systolic BP(mm Hg)_Male,0.7872762742468228
BMI(kg/m2)_Female,0.7742381693467074
Diastolic BP(mm Hg)_Female,0.7584275625655857
FAT%_Female,0.7472707110549129
Heart rate(/min)_Male,0.7330167694629571
sex_encoded,0.726431234653444
Systolic BP(mm Hg)_Female,0.7252428672775282
VO2peak(ml/kg/min)_Female,0.7154427941795266
Age(yrs)_Female,0.693675434236422
Age(yrs)_Male,0.692847735832683
